"X";"G13";"G8";"s90"
"0:00";7;0;0
"2:00";6;1;0
"4:00";2;5;0
"6:00";5;2;0
"8:00";3;4;0
"10:00";3;2;2
"12:00";3;2;2
"14:00";4;2;1
"16:00";5;2;0
"18:00";5;2;0
"20:00";5;2;0
"22:00";1;6;0
"24:00";3;1;3
"26:00";6;1;0
"28:00";5;2;0
"30:00";6;1;0
"32:00";7;0;0
"34:00";7;0;0
"36:00";7;0;0
"38:00";7;0;0
"40:00";7;0;0
"42:00";7;0;0
"44:00";7;0;0
"46:00";7;0;0
"48:00";7;0;0
