"X";"G4";"G8";"s90"
"0:00";3;2;1
"2:00";2;4;0
"4:00";4;2;0
"6:00";3;3;0
"8:00";3;3;0
"10:00";0;3;3
"12:00";2;3;1
"14:00";0;3;3
"16:00";4;0;2
"18:00";0;1;5
"20:00";1;4;1
"22:00";3;2;1
"24:00";4;1;1
"26:00";5;1;0
"28:00";6;0;0
"30:00";6;0;0
"32:00";5;1;0
"34:00";5;1;0
"36:00";6;0;0
"38:00";6;0;0
"40:00";6;0;0
"42:00";6;0;0
"44:00";6;0;0
"46:00";6;0;0
"48:00";6;0;0
