"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;48290;"185-2";1;90;539;2085;"G";58;TRUE;1;"GzG";578,084826847985;585,221746667392;1,01234580028388;"G6"
2;48901;"185-2";1;100;539;885;"P";70;FALSE;1;"FGz";448,755855467238;508,905744122891;1,13403700012566;"G3"
3;41482;"Re 482-2";1;100;369;584;"P";70;TRUE;1;"NGz";429,713161915441;508,905744122891;1,18429173045212;"G3"
4;47292;"185-2";1;90;539;2085;"G";61;FALSE;1;"GzG";578,084826847985;585,221746667392;1,01234580028388;"G6"
5;49015;"Re 482-2";1;100;369;1884;"P";60;TRUE;1;"FGz";513,303328065236;585,221746667392;1,14010900508523;"G6"
6;49017;"Re 482-2";1;100;369;1884;"P";60;TRUE;1;"FGz";513,303328065236;585,221746667392;1,14010900508523;"G6"
7;49208;"185-2";1;90;699;1885;"G";60;TRUE;1;"NGz";564,417620199808;585,221746667392;1,03685945605351;"G6"
8;49214;"185-2";1;90;704;1885;"G";66;FALSE;1;"NGz";564,417620199808;585,221746667392;1,03685945605351;"G6"
9;49227;"185-2";1;90;719;1885;"G";65;TRUE;1;"NGz";564,417620199808;585,221746667392;1,03685945605351;"G6"
10;49229;"185-2";1;90;719;1885;"G";65;TRUE;1;"NGz";564,417620199808;585,221746667392;1,03685945605351;"G6"
11;55810;"294-1";1;80;364;1329;"P";52;FALSE;0;"NGz";888,409434187344;850,482585930078;1;"s90"
12;55816;"294-3";1;80;664;1280;"P";42;FALSE;0;"NGz";839,957208015393;850,482585930078;1,01253085016028;"s90"
13;55817;"294-3";1;80;544;1280;"P";40;FALSE;0;"NGz";839,957208015393;839,957208015393;1;"no"
14;55818;"294-3";1;80;254;1080;"P";42;FALSE;0;"NGz";753,564959770336;850,482585930078;1,12861217192116;"s90"
15;55819;"294-3";1;80;184;925;"P";46;FALSE;0;"NGz";722,686718272189;850,482585930078;1,1768343936961;"s90"
16;55820;"294-3";1;80;184;330;"P";50;FALSE;0;"NGz";532,727255884543;850,482585930078;1,59646906843152;"s90"
17;75794;"G1206-3";1;100;515;1087;"G";47;FALSE;0;"NGz";675,08724445913;850,482585930078;1,25981136943488;"s90"
18;75795;"G1000-1";1;100;514;1080;"G";47;FALSE;0;"NGz";763,509615315502;850,482585930078;1,11391208292595;"s90"
19;83854;"G1000-1";1;100;314;580;"P";100;FALSE;0;"NGz";586,643302219705;850,482585930078;1,44974396317502;"s90"
20;89647;"185-2";1;100;319;1705;"P";63;TRUE;1;"NGz";504,825862593032;508,905744122891;1,00808176013191;"G3"
