"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"182775";286;55;"G";80;0,903010033444816;0,986622073578595;1;0,996655518394649;0,903010033444816;0;0;0;2000;"G";40;"1116-1";1;602,111609268343
"176490";334;56;"G";80;0,906354515050167;0,983277591973244;1;0,996655518394649;0,903010033444816;0;0;0;2200;"G";50;"1116-1";1;613,525885265028
"81974";382;55;"G";90;0,916387959866221;0,986622073578595;1;0,973244147157191;0,903010033444816;1;0;1;2400;"G";60;"1116-1";1;601,827940919128
"163900";382;58;"G";80;0,916387959866221;0,963210702341137;1;0,996655518394649;0,903010033444816;0;0;0;2400;"G";60;"1116-1";1;625,448603321405
"75921";1121;56;"G";90;0,919732441471572;0,983277591973244;1;0,973244147157191;0,903010033444816;0;0;0;1800;"G";90;"139-1";1;648,952704792396
"70140";2956;57;"G";90;0,933110367892977;0,966555183946488;1;0,973244147157191;0,903010033444816;0;0;0;3000;"G";100;"151-1";1;669,354657936348
"63319";1123;58;"G";90;0,936454849498328;0,963210702341137;1;0,973244147157191;0,903010033444816;0;0;0;2000;"G";90;"139-1";1;671,221941191462
"158356";2903;60;"G";80;0,939799331103679;0,939799331103679;1;0,996655518394649;0,903010033444816;0;0;0;3100;"G";90;"151-1";1;677,097160498537
"156680";16725;61;"G";80;0,949832775919732;0,919732441471572;1;0,996655518394649;0,903010033444816;0;1;0;1900;"G";60;"ER 20D-2";1;754,31439739208
"248090";7656;50;"P";60;0,949832775919732;1;0,939799331103679;1;0,903010033444816;0;0;0;1000;"G";40;"212-1";1;769,035385612817
"147298";7778;50;"P";80;0,953177257525084;1;0,939799331103679;0,996655518394649;0,903010033444816;0;0;0;1000;"G";50;"213-1";1;834,340503775424
"56938";953;60;"G";90;0,956521739130435;0,939799331103679;1;0,973244147157191;0,903010033444816;0;0;0;2000;"G";40;"139-1";1;671,221941191462
"132365";292;55;"P";80;0,956521739130435;0,986622073578595;0,939799331103679;0,996655518394649;0,903010033444816;0;0;0;2600;"G";40;"1116-1";1;614,114676293523
"126047";246;56;"P";80;0,963210702341137;0,983277591973244;0,939799331103679;0,996655518394649;0,903010033444816;0;0;0;2600;"G";30;"1116-1";1;614,114676293523
"38034";955;52;"P";90;0,976588628762542;0,993311036789298;0,939799331103679;0,973244147157191;0,903010033444816;0;0;0;2200;"G";40;"139-1";1;672,454101080971
"34018";8676;55;"P";90;0,983277591973244;0,986622073578595;0,939799331103679;0,973244147157191;0,903010033444816;0;0;0;2800;"G";50;"232-2";1;845,59054235444
"220898";1194;57;"P";60;0,983277591973244;0,966555183946488;0,939799331103679;1;0,903010033444816;0;0;0;2200;"G";30;"140-1";1;744,266476807398
"119899";867;57;"P";80;0,989966555183946;0,966555183946488;0,939799331103679;0,996655518394649;0,903010033444816;0;0;0;1700;"G";30;"1293-2";1;929,189075164833
"214429";867;58;"P";60;0,989966555183946;0,963210702341137;0,939799331103679;1;0,903010033444816;0;0;0;1700;"G";30;"1293-2";1;929,189075164833
"52502";7197;61;"G";90;0,996655518394649;0,919732441471572;1;0,973244147157191;0,903010033444816;0;0;0;1700;"G";50;"203-1";1;809,183255258092
