"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"82585";244;42;"G";80;0,902255639097744;1;1;1;0,902255639097744;0;0;1;2400;"G";30;"1116-1";1;625,448603321405
"79929";293;50;"G";80;0,909774436090226;0,992481203007519;1;1;0,902255639097744;0;0;0;2700;"G";40;"1116-1";1;644,385069359716
"77365";1315;52;"G";80;0,917293233082707;0,977443609022556;1;1;0,902255639097744;0;0;0;2300;"G";60;"140-1";1;723,85325724153
"34943";4675;52;"G";90;0,924812030075188;0,977443609022556;1;0,947368421052632;0,902255639097744;1;0;0;2500;"G";60;"180-1";1;762,668243508505
"71931";246;56;"G";80;0,924812030075188;0,954887218045113;1;1;0,902255639097744;0;0;0;2600;"G";30;"1116-1";1;637,924200103047
"29372";954;56;"G";90;0,932330827067669;0,954887218045113;1;0,947368421052632;0,902255639097744;0;1;0;2100;"G";40;"139-1";1;683,340761343435
"66660";920;58;"G";80;0,947368421052632;0,924812030075188;1;1;0,902255639097744;0;0;0;2100;"G";30;"139-1";1;683,340761343435
"61439";3010;42;"P";80;0,969924812030075;1;0,932330827067669;1;0,902255639097744;0;0;0;3000;"G";30;"152-2";1;642,403038442023
"58690";1195;50;"P";80;0,977443609022556;0,992481203007519;0,932330827067669;1;0,902255639097744;0;0;0;2300;"G";30;"140-1";1;685,839750883069
"64631";7537;59;"G";80;0,984962406015038;0,902255639097744;1;1;0,902255639097744;0;0;0;1300;"G";30;"211-1";1;952,701564398851
"55964";868;52;"P";80;0,992481203007519;0,977443609022556;0,932330827067669;1;0,902255639097744;0;0;0;1800;"G";30;"1293-2";1;1014,59717301012
