"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"7391";866;50;"G";70;0,904761904761905;1;1;1;0,904761904761905;1;0;0;1600;"G";30;"1293-2";1;921,334459946183
"3049";4555;50;"G";80;0,928571428571429;1;1;0,976190476190476;0,904761904761905;0;0;1;2500;"G";30;"180-1";1;762,668243508505
"5914";867;51;"G";70;0,952380952380952;0,952380952380952;1;1;0,904761904761905;0;1;0;1700;"G";30;"1293-2";1;943,177170402928
"1481";868;51;"G";80;0,976190476190476;0,952380952380952;1;0,976190476190476;0,904761904761905;0;0;0;1800;"G";30;"1293-2";1;1026,50193491488
"4437";868;54;"G";70;0,976190476190476;0,928571428571429;1;1;0,904761904761905;0;0;0;1800;"G";30;"1293-2";1;1026,50193491488
"851";13151;54;"G";80;1;0,928571428571429;1;0,976190476190476;0,904761904761905;0;0;0;1300;"G";30;"363-1";1;1314,65245850925
