"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"133623";378;54;"G";80;0,904494382022472;0,98314606741573;1;1;0,904494382022472;0;0;0;2000;"G";60;"1116-1";1;602,111609268343
"53489";380;54;"G";90;0,910112359550562;0,98314606741573;1;0,97752808988764;0,904494382022472;1;0;1;2200;"G";60;"1116-1";1;587,50738461758
"126947";380;56;"G";80;0,910112359550562;0,97752808988764;1;1;0,904494382022472;0;0;0;2200;"G";60;"1116-1";1;613,525885265028
"47055";1084;56;"G";90;0,915730337078652;0,97752808988764;1;0,97752808988764;0,904494382022472;0;0;0;1500;"G";80;"139-1";1;599,367744999654
"120530";1120;58;"G";80;0,926966292134832;0,960674157303371;1;1;0,904494382022472;0;0;0;1700;"G";90;"139-1";1;638,642456605884
"40379";1086;58;"G";90;0,932584269662921;0,960674157303371;1;0,97752808988764;0,904494382022472;0;0;0;1700;"G";80;"139-1";1;624,553124604624
"113607";429;60;"G";80;0,938202247191011;0,949438202247191;1;1;0,904494382022472;0;0;0;2500;"G";70;"1116-1";1;631,614261311566
"33473";431;60;"G";90;0,943820224719101;0,949438202247191;1;0,97752808988764;0,904494382022472;0;0;0;2700;"G";70;"1116-1";1;624,908239936142
"101440";4129;62;"G";80;0,949438202247191;0,932584269662921;1;1;0,904494382022472;0;0;0;2900;"G";90;"155-1";1;681,290696433359
"14627";4130;63;"G";90;0,955056179775281;0,926966292134832;1;0,97752808988764;0,904494382022472;0;1;0;3000;"G";90;"155-1";1;705,159917382795
"6821";655;64;"G";90;0,971910112359551;0,915730337078652;1;0,97752808988764;0,904494382022472;0;0;0;1800;"G";70;"1144-1";1;624,738894959082
"331";1125;65;"G";90;0,97752808988764;0,910112359550562;1;0,97752808988764;0,904494382022472;0;0;0;2200;"G";90;"139-1";1;696,263624890494
