"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"26859";4554;47;"G";60;0,904761904761905;1;1;1;0,904761904761905;1;0;1;2400;"G";30;"180-1";1;792,42546206597
"25787";8228;49;"G";60;0,91156462585034;0,993197278911565;1;1;0,904761904761905;0;0;0;1600;"G";40;"225-1";1;879,822824223351
"17620";8219;47;"G";70;0,918367346938776;1;1;0,986394557823129;0,904761904761905;0;0;0;1500;"G";30;"225-1";1;808,937479826145
"24616";8219;53;"G";60;0,918367346938776;0,986394557823129;1;1;0,904761904761905;0;0;0;1500;"G";30;"225-1";1;808,937479826145
"8163";865;47;"G";80;0,925170068027211;1;1;0,979591836734694;0,904761904761905;0;0;0;1500;"G";30;"1293-2";1;1004,91418127146
"16325";865;49;"G";70;0,925170068027211;0,993197278911565;1;0,986394557823129;0,904761904761905;0;0;0;1500;"G";30;"1293-2";1;1004,91418127146
"7078";7535;49;"G";80;0,931972789115646;0,993197278911565;1;0,979591836734694;0,904761904761905;0;0;0;1100;"G";30;"211-1";1;893,803513595035
"15240";7535;53;"G";70;0,931972789115646;0,986394557823129;1;0,986394557823129;0,904761904761905;0;0;0;1100;"G";30;"211-1";1;893,803513595035
"5832";866;53;"G";80;0,938775510204082;0,986394557823129;1;0,979591836734694;0,904761904761905;0;0;0;1600;"G";30;"1293-2";1;921,334459946183
"23322";866;54;"G";60;0,938775510204082;0,965986394557823;1;1;0,904761904761905;0;0;0;1600;"G";30;"1293-2";1;921,334459946183
"14075";7536;54;"G";70;0,952380952380952;0,965986394557823;1;0,986394557823129;0,904761904761905;0;1;0;1200;"G";30;"211-1";1;1021,37566784118
"4667";867;54;"G";80;0,965986394557823;0,965986394557823;1;0,979591836734694;0,91156462585034;0;0;0;1700;"G";30;"1293-2";1;943,177170402928
"22157";867;55;"G";60;0,965986394557823;0,938775510204082;1;1;0,904761904761905;0;0;0;1700;"G";30;"1293-2";1;943,177170402928
"13825";17928;55;"G";70;0,979591836734694;0,938775510204082;1;0,986394557823129;0,904761904761905;0;0;0;2000;"G";30;"G1206-3";1;883,397238861451
"21987";17928;56;"G";60;0,979591836734694;0,925170068027211;1;1;0,904761904761905;0;0;0;2000;"G";30;"G1206-3";1;883,397238861451
"3846";12638;55;"G";80;0,986394557823129;0,938775510204082;1;0,979591836734694;0,904761904761905;0;0;0;1900;"G";30;"294-2";1;984,716292104078
"20170";12638;57;"G";60;0,986394557823129;0,918367346938776;1;1;0,904761904761905;0;0;0;1900;"G";30;"294-2";1;984,716292104078
"11927";12469;56;"G";70;0,993197278911565;0,925170068027211;1;0,986394557823129;0,904761904761905;0;0;0;1900;"G";30;"294-1";1;1083,28909046935
"18923";12469;58;"G";60;0,993197278911565;0,91156462585034;1;1;0,904761904761905;0;0;0;1900;"G";30;"294-1";1;1083,28909046935
