"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"93851";917;40;"G";70;0,901315789473684;1;1;1;0,901315789473684;0;0;0;1800;"G";30;"139-1";1;679,806656900196
"62115";7643;40;"G";80;0,907894736842105;1;1;0,993421052631579;0,901315789473684;0;0;0;1100;"G";30;"212-1";1;856,929038483757
"90143";11303;50;"G";70;0,907894736842105;0,980263157894737;1;1;0,901315789473684;0;0;0;3100;"G";60;"264-1";1;754,128131651561
"57587";8249;50;"G";80;0,914473684210526;0,980263157894737;1;0,993421052631579;0,901315789473684;0;0;0;1300;"G";70;"225-1";1;775,360333349235
"87019";1276;52;"G";70;0,934210526315789;0,947368421052632;1;1;0,901315789473684;0;0;0;2400;"G";50;"140-1";1;733,904222747745
"82414";920;55;"G";70;0,940789473684211;0,921052631578947;1;1;0,901315789473684;0;0;0;2100;"G";30;"139-1";1;705,376810714335
"50405";1234;55;"G";80;0,947368421052632;0,921052631578947;1;0,993421052631579;0,901315789473684;0;0;0;2200;"G";40;"140-1";1;695,791805181298
"22970";3008;52;"G";90;0,960526315789474;0,947368421052632;1;0,914473684210526;0,907894736842105;1;1;1;2800;"G";30;"152-2";1;635,297478375083
"48107";1194;56;"G";80;0,960526315789474;0,901315789473684;1;0,993421052631579;0,901315789473684;0;0;0;2200;"G";30;"140-1";1;695,791805181298
"45880";4552;40;"P";80;0,986842105263158;1;0,914473684210526;0,993421052631579;0,901315789473684;0;0;0;2200;"G";30;"180-1";1;686,50413472304
"43478";868;47;"P";80;1;0,986842105263158;0,914473684210526;0,993421052631579;0,901315789473684;0;0;0;1800;"G";30;"1293-2";1;1014,59717301012
