"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"305123";40;60;"G";80;0,909090909090909;0,98989898989899;1;1;0,909090909090909;0;0;0;1600;"G";40;"1016-1";1;580,657803117465
"246301";8664;61;"P";80;0,919191919191919;0,97979797979798;0,96969696969697;1;0,909090909090909;0;0;0;1600;"G";50;"232-2";1;650,170696461734
"143585";12;60;"P";90;0,939393939393939;0,98989898989899;0,96969696969697;0,96969696969697;0,909090909090909;0;0;1;1600;"G";30;"1016-1";1;521,901211338122
"36183";731;60;"P";100;0,94949494949495;0,98989898989899;0,96969696969697;0,939393939393939;0,909090909090909;1;1;0;1500;"G";40;"1265-1";1;717,486184641299
"134897";731;61;"P";90;0,94949494949495;0,97979797979798;0,96969696969697;0,96969696969697;0,909090909090909;0;0;0;1500;"G";40;"1265-1";1;717,486184641299
"287176";41;62;"G";80;0,94949494949495;0,94949494949495;1;1;0,909090909090909;0;0;0;1700;"G";40;"1016-1";1;585,859930596489
"179482";13;62;"G";90;0,95959595959596;0,94949494949495;1;0,96969696969697;0,909090909090909;0;0;0;1700;"G";30;"1016-1";1;554,77538376477
"278196";13;65;"G";80;0,95959595959596;0,939393939393939;1;1;0,909090909090909;0;0;0;1700;"G";30;"1016-1";1;585,859930596489
"27346";981;61;"P";100;0,96969696969697;0,97979797979798;0,96969696969697;0,939393939393939;0,909090909090909;0;0;0;1400;"G";50;"139-1";1;561,079650386845
"170520";70;65;"G";90;0,96969696969697;0,939393939393939;1;0,96969696969697;0,909090909090909;0;0;0;1800;"G";50;"1016-1";1;561,00663958413
"126060";981;62;"P";90;0,96969696969697;0,94949494949495;0,96969696969697;0,96969696969697;0,909090909090909;0;0;0;1400;"G";50;"139-1";1;561,079650386845
"71795";14;62;"G";100;0,97979797979798;0,94949494949495;1;0,939393939393939;0,909090909090909;0;0;0;1800;"G";30;"1016-1";1;542,599196868886
"269223";14;66;"G";80;0,97979797979798;0,919191919191919;1;1;0,909090909090909;0;0;0;1800;"G";30;"1016-1";1;591,166971571777
"63099";713;65;"G";100;0,98989898989899;0,939393939393939;1;0,939393939393939;0,909090909090909;0;0;0;1700;"G";30;"1265-1";1;753,302575163045
"18229";713;62;"P";100;0,98989898989899;0,94949494949495;0,96969696969697;0,939393939393939;0,909090909090909;0;0;0;1700;"G";30;"1265-1";1;735,445432305902
"161813";713;66;"G";90;0,98989898989899;0,919191919191919;1;0,96969696969697;0,909090909090909;0;0;0;1700;"G";30;"1265-1";1;753,302575163045
"116943";713;65;"P";90;0,98989898989899;0,939393939393939;0,96969696969697;0,96969696969697;0,909090909090909;0;0;0;1700;"G";30;"1265-1";1;735,445432305902
