"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"331241";2524;58;"G";80;0,90625;0,9921875;1;1;0,90625;0;0;0;1600;"G";100;"146-3";1;582,91913854911
"212055";16548;60;"G";90;0,9140625;0,9765625;1;0,9921875;0,90625;0;0;0;2100;"G";80;"EG-2";1;549,776328021768
"195207";2198;61;"G";90;0,9296875;0,96875;1;0,9921875;0,9140625;0;0;0;1600;"G";100;"145-2";1;559,441126695869
"146677";2198;60;"P";90;0,9296875;0,9765625;0,96875;0,9921875;0,90625;0;0;0;1600;"G";100;"145-2";1;532,655412410154
"87391";180;60;"G";100;0,9375;0,9765625;1;0,953125;0,90625;1;0;0;1600;"G";90;"1016-1";1;528,001270289671
"184451";180;62;"G";90;0,9375;0,953125;1;0,9921875;0,90625;0;0;0;1600;"G";90;"1016-1";1;548,686925623836
"135921";180;61;"P";90;0,9375;0,96875;0,96875;0,9921875;0,90625;0;0;0;1600;"G";90;"1016-1";1;521,901211338122
"77679";152;61;"G";100;0,9453125;0,96875;1;0,953125;0,90625;0;0;0;1600;"G";80;"1016-1";1;528,001270289671
"174739";152;65;"G";90;0,9453125;0,9453125;1;0,9921875;0,90625;0;0;0;1600;"G";80;"1016-1";1;548,686925623836
"69161";2484;62;"G";100;0,9609375;0,953125;1;0,953125;0,90625;0;0;0;1600;"G";90;"146-3";1;533,9314932943
"20631";2484;61;"P";100;0,9609375;0,96875;0,96875;0,953125;0,90625;0;1;1;1600;"G";90;"146-3";1;504,169588532395
"117691";2484;65;"P";90;0,9609375;0,9453125;0,96875;0,9921875;0,90625;0;0;0;1600;"G";90;"146-3";1;525,480586920469
"58237";12;65;"G";100;0,96875;0,9453125;1;0,953125;0,90625;0;0;0;1600;"G";30;"1016-1";1;528,001270289671
