"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"343179";16595;56;"G";90;0,903614457831325;1;1;0,993975903614458;0,903614457831325;0;0;0;2400;"G";100;"EG-2";1;564,529578352841
"315913";180;58;"G";90;0,909638554216867;0,987951807228916;1;0,993975903614458;0,903614457831325;0;0;0;1600;"G";90;"1016-1";1;548,686925623836
"251879";5892;56;"P";90;0,921686746987952;1;0,939759036144578;0,993975903614458;0,903614457831325;0;0;1;1600;"G";90;"185-2";1;524,688401588275
"306335";152;60;"G";90;0,927710843373494;0,969879518072289;1;0,993975903614458;0,903614457831325;0;0;0;1600;"G";80;"1016-1";1;548,686925623836
"230321";1150;58;"P";90;0,927710843373494;0,987951807228916;0,939759036144578;0,993975903614458;0,903614457831325;0;0;0;1300;"G";100;"139-1";1;550,175906055274
"296776";210;61;"G";90;0,933734939759036;0,957831325301205;1;0,993975903614458;0,903614457831325;0;0;0;1800;"G";100;"1016-1";1;561,00663958413
"143581";12;58;"G";100;0,939759036144578;0,987951807228916;1;0,927710843373494;0,903614457831325;1;0;0;1600;"G";30;"1016-1";1;528,001270289671
"134365";731;60;"G";100;0,94578313253012;0,969879518072289;1;0,927710843373494;0,903614457831325;0;1;0;1500;"G";40;"1265-1";1;735,343327498442
"287517";731;62;"G";90;0,94578313253012;0,94578313253012;1;0,993975903614458;0,903614457831325;0;0;0;1500;"G";40;"1265-1";1;735,343327498442
"220159";14;60;"P";90;0,969879518072289;0,969879518072289;0,939759036144578;0,993975903614458;0,903614457831325;0;0;0;1800;"G";30;"1016-1";1;534,220925298416
"126101";3377;61;"G";100;0,975903614457831;0,957831325301205;1;0,927710843373494;0,903614457831325;0;0;0;1900;"G";100;"152-2";1;551,935300186193
"279253";3377;63;"G";90;0,975903614457831;0,91566265060241;1;0,993975903614458;0,903614457831325;0;0;0;1900;"G";100;"152-2";1;568,439923408585
"268471";914;64;"G";90;0,987951807228916;0,909638554216867;1;0,993975903614458;0,903614457831325;0;0;0;1500;"G";30;"139-1";1;599,367744999654
"114917";242;62;"G";100;1;0,94578313253012;1;0,927710843373494;0,903614457831325;0;0;0;2200;"G";30;"1116-1";1;574,780606186507
"258497";242;65;"G";90;1;0,903614457831325;1;0,993975903614458;0,903614457831325;0;0;0;2200;"G";30;"1116-1";1;587,50738461758
