"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"62583";98;54;"G";80;0,902439024390244;0,959349593495935;1;1;0,902439024390244;0;0;0;1800;"G";60;"1016-1";1;591,166971571777
"54757";42;55;"G";80;0,910569105691057;0,943089430894309;1;1;0,902439024390244;0;0;0;1800;"G";40;"1016-1";1;591,166971571777
"7854";285;55;"G";90;0,926829268292683;0,943089430894309;1;0,926829268292683;0,902439024390244;1;0;1;1900;"G";40;"1116-1";1;567,387590162961
"4377";11176;58;"G";90;0,951219512195122;0,902439024390244;1;0,926829268292683;0,902439024390244;0;1;0;2800;"G";40;"264-1";1;703,201348301749
