"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"1031";919;52;"G";70;0,92;1;1;1;0,92;1;0;1;2000;"G";30;"139-1";1;696,524848565184
"22";920;54;"G";70;0,96;0,96;1;1;0,92;0;1;0;2100;"G";30;"139-1";1;705,376810714335
