"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
"24281";240;53;"G";80;0,91304347826087;1;1;0,978260869565217;0,91304347826087;0;0;0;2000;"G";30;"1116-1";1;602,111609268343
"9749";382;53;"G";90;0,934782608695652;1;1;0,934782608695652;0,91304347826087;1;1;1;2400;"G";60;"1116-1";1;601,827940919128
"19453";336;54;"G";80;0,956521739130435;0,956521739130435;1;0,978260869565217;0,91304347826087;0;0;0;2400;"G";50;"1116-1";1;625,448603321405
"29244";866;56;"G";40;1;0,91304347826087;1;1;0,91304347826087;0;0;0;1600;"G";30;"1293-2";1;1011,69484583652
