"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
867;40;"G";80;1;1;1;1;1;1700;"G";30;"1293-2";1;2032,94418529027
868;40;"G";80;1;1;1;1;1;1800;"G";30;"1293-2";1;2349,0022691409
871;40;"G";80;1;1;1;1;1;1700;"P";30;"1293-2";1;2026,76421330148
872;40;"G";80;1;1;1;1;1;1800;"P";30;"1293-2";1;2343,73016029736
875;40;"G";80;1;1;1;1;1;1700;"G";40;"1293-2";1;2014,3372056541
876;40;"G";80;1;1;1;1;1;1800;"G";40;"1293-2";1;2332,5745001801
879;40;"G";80;1;1;1;1;1;1700;"P";40;"1293-2";1;2008,15723366531
880;40;"G";80;1;1;1;1;1;1800;"P";40;"1293-2";1;2327,30239133657
883;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1700;"G";50;"1293-2";1;2014,3372056541
884;40;"G";80;1;1;1;1;1;1800;"G";50;"1293-2";1;2332,5745001801
887;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1700;"P";50;"1293-2";1;2008,15723366531
888;40;"G";80;1;1;1;1;1;1800;"P";50;"1293-2";1;2327,30239133657
891;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1700;"G";60;"1293-2";1;2014,3372056541
892;40;"G";80;1;1;1;1;1;1800;"G";60;"1293-2";1;2332,5745001801
895;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1700;"P";60;"1293-2";1;2008,15723366531
896;40;"G";80;1;1;1;1;1;1800;"P";60;"1293-2";1;2327,30239133657
899;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1700;"G";70;"1293-2";1;2014,3372056541
900;40;"G";80;1;1;1;1;1;1800;"G";70;"1293-2";1;2332,5745001801
903;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1700;"P";70;"1293-2";1;2008,15723366531
904;40;"G";80;1;1;1;1;1;1800;"P";70;"1293-2";1;2327,30239133657
7536;40;"G";80;1;1;1;1;1;1200;"G";30;"211-1";1;2263,38456899946
7537;40;"G";80;1;1;1;1;1;1300;"G";30;"211-1";1;2513,53894410527
7545;40;"G";80;1;1;1;1;1;1200;"P";30;"211-1";1;2257,80917217406
7546;40;"G";80;1;1;1;1;1;1300;"P";30;"211-1";1;2503,45957902591
7554;40;"G";80;1;1;1;1;1;1200;"G";40;"211-1";1;2247,56666895844
7555;40;"G";80;1;1;1;1;1;1300;"G";40;"211-1";1;2505,95284989427
7563;40;"G";80;1;1;1;1;1;1200;"P";40;"211-1";1;2241,99127213304
7564;40;"G";80;1;1;1;1;1;1300;"P";40;"211-1";1;2495,83380227522
7572;40;"G";80;1;1;1;1;1;1200;"G";50;"211-1";1;2247,56666895844
7573;40;"G";80;1;1;1;1;1;1300;"G";50;"211-1";1;2505,95284989427
7581;40;"G";80;1;1;1;1;1;1200;"P";50;"211-1";1;2241,99127213304
7582;40;"G";80;1;1;1;1;1;1300;"P";50;"211-1";1;2495,83380227522
7590;40;"G";80;1;1;1;1;1;1200;"G";60;"211-1";1;2247,56666895844
7591;40;"G";80;1;1;1;1;1;1300;"G";60;"211-1";1;2505,95284989427
7599;40;"G";80;1;1;1;1;1;1200;"P";60;"211-1";1;2241,99127213304
7600;40;"G";80;1;1;1;1;1;1300;"P";60;"211-1";1;2495,83380227522
7608;40;"G";80;1;1;1;1;1;1200;"G";70;"211-1";1;2247,56666895844
7609;40;"G";80;1;1;1;1;1;1300;"G";70;"211-1";1;2505,95284989427
7617;40;"G";80;1;1;1;1;1;1200;"P";70;"211-1";1;2241,99127213304
7618;40;"G";80;1;1;1;1;1;1300;"P";70;"211-1";1;2495,83380227522
7626;40;"G";80;1;1;1;1;1;1200;"G";80;"211-1";1;2247,56666895844
7627;40;"G";80;1;1;1;1;1;1300;"G";80;"211-1";1;2505,95284989427
7635;40;"G";80;1;1;1;1;1;1200;"P";80;"211-1";1;2241,99127213304
7636;40;"G";80;1;1;1;1;1;1300;"P";80;"211-1";1;2495,83380227522
10704;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1600;"G";30;"261-1";1;2488,51716575467
10716;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1600;"P";30;"261-1";1;2483,54921703672
10728;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1600;"G";40;"261-1";1;2457,54616522747
10740;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1600;"P";40;"261-1";1;2452,57821650952
10752;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1600;"G";50;"261-1";1;2457,54616522747
10764;40;"G";80;0,944444444444444;1;1;1;0,944444444444444;1600;"P";50;"261-1";1;2452,57821650952
