"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
888;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"P";50;"1293-2";1;2327,30239133657
890;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1600;"G";60;"1293-2";1;1901,91288112818
891;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1700;"G";60;"1293-2";1;2014,3372056541
892;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"G";60;"1293-2";1;2332,5745001801
894;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1600;"P";60;"1293-2";1;1895,99678900049
895;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1700;"P";60;"1293-2";1;2008,15723366531
896;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"P";60;"1293-2";1;2327,30239133657
898;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1600;"G";70;"1293-2";1;1901,91288112818
899;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1700;"G";70;"1293-2";1;2014,3372056541
900;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"G";70;"1293-2";1;2332,5745001801
902;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1600;"P";70;"1293-2";1;1895,99678900049
903;56;"G";90;0,988235294117647;0,976470588235294;1;0,929411764705882;0,917647058823529;1700;"P";70;"1293-2";1;2008,15723366531
904;56;"G";90;1;0,976470588235294;1;0,929411764705882;0,929411764705882;1800;"P";70;"1293-2";1;2327,30239133657
919;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"G";30;"139-1";1;1269,45362888977
920;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"G";30;"139-1";1;1307,66350644287
921;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"G";30;"139-1";1;1437,95462362352
936;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"P";30;"139-1";1;1259,3742638104
937;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"P";30;"139-1";1;1297,58414136351
938;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"P";30;"139-1";1;1427,87525854416
953;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"G";40;"139-1";1;1122,66585080789
954;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"G";40;"139-1";1;1220,39463172329
955;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"G";40;"139-1";1;1343,2467203864
970;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"P";40;"139-1";1;1111,69002108206
971;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"P";40;"139-1";1;1210,61425405498
972;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"P";40;"139-1";1;1334,66338705307
987;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"G";50;"139-1";1;1109,3600800659
988;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"G";50;"139-1";1;1212,58558225429
989;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"G";50;"139-1";1;1343,95503406184
1004;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"P";50;"139-1";1;1098,38425034007
1005;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"P";50;"139-1";1;1202,80520458598
1006;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"P";50;"139-1";1;1335,37170072851
1021;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"G";60;"139-1";1;1109,3600800659
1022;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"G";60;"139-1";1;1212,58558225429
1023;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"G";60;"139-1";1;1343,95503406184
1038;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"P";60;"139-1";1;1098,38425034007
1039;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"P";60;"139-1";1;1202,80520458598
1040;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"P";60;"139-1";1;1335,37170072851
1192;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"G";30;"140-1";1;1269,35138425119
1193;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"G";30;"140-1";1;1287,74101564194
1194;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"G";30;"140-1";1;1448,93114515004
1195;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"G";30;"140-1";1;1637,49759059616
1196;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";30;"140-1";1;1903,06595192023
1212;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"P";30;"140-1";1;1259,27201917182
1213;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"P";30;"140-1";1;1277,66165056257
1214;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"P";30;"140-1";1;1440,34781181671
1215;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"P";30;"140-1";1;1630,11380374809
1216;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";30;"140-1";1;1896,88597993144
1232;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"G";40;"140-1";1;1121,02599734887
1233;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"G";40;"140-1";1;1218,15439724448
1234;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"G";40;"140-1";1;1340,17943723868
1235;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"G";40;"140-1";1;1515,01640713779
1236;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";40;"140-1";1;1762,80403059781
1252;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"P";40;"140-1";1;1110,05016762304
1253;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"P";40;"140-1";1;1208,37401957617
1254;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"P";40;"140-1";1;1331,59610390534
1255;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"P";40;"140-1";1;1507,63262028972
1256;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";40;"140-1";1;1756,62405860902
1272;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"G";50;"140-1";1;1107,53613116909
1273;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"G";50;"140-1";1;1210,27144392481
1274;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"G";50;"140-1";1;1340,90105160588
1275;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"G";50;"140-1";1;1515,01640713779
1276;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";50;"140-1";1;1762,80403059781
1292;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"P";50;"140-1";1;1096,56030144326
1293;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"P";50;"140-1";1;1200,4910662565
1294;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"P";50;"140-1";1;1332,31771827254
1295;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"P";50;"140-1";1;1507,63262028972
1296;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";50;"140-1";1;1756,62405860902
1312;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"G";60;"140-1";1;1107,53613116909
1313;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"G";60;"140-1";1;1210,27144392481
1314;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"G";60;"140-1";1;1340,90105160588
1315;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"G";60;"140-1";1;1515,01640713779
1316;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";60;"140-1";1;1762,80403059781
1332;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2000;"P";60;"140-1";1;1096,56030144326
1333;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2100;"P";60;"140-1";1;1200,4910662565
1334;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2200;"P";60;"140-1";1;1332,31771827254
1335;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"P";60;"140-1";1;1507,63262028972
1336;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";60;"140-1";1;1756,62405860902
1355;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"G";70;"140-1";1;1515,01640713779
1356;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";70;"140-1";1;1762,80403059781
1375;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2300;"P";70;"140-1";1;1507,63262028972
1376;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";70;"140-1";1;1756,62405860902
1884;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";30;"145-2";1;1264,8984915829
1885;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"G";30;"145-2";1;1266,86595128495
1886;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"G";30;"145-2";1;1268,86146045486
1887;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"G";30;"145-2";1;1270,88562808926
1907;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";30;"145-2";1;1254,81912650354
1908;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"P";30;"145-2";1;1256,78658620558
1909;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"P";30;"145-2";1;1258,78209537549
1910;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"P";30;"145-2";1;1260,80626300989
1930;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";40;"145-2";1;986,515584934433
1931;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"G";40;"145-2";1;989,204457899055
1932;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"G";40;"145-2";1;991,934100761649
1933;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"G";40;"145-2";1;994,705469721993
1953;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";40;"145-2";1;973,450108743957
1954;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"P";40;"145-2";1;976,138981708579
1955;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"P";40;"145-2";1;978,868624571173
1956;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"P";40;"145-2";1;981,639993531517
2252;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";30;"146-3";1;1265,03300087018
2272;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";30;"146-3";1;1254,95363579081
2292;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";40;"146-3";1;986,709627638201
2312;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";40;"146-3";1;973,644151447725
2578;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"G";30;"151-1";1;1270,3975177267
2579;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"G";30;"151-1";1;1272,19565853635
2605;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"P";30;"151-1";1;1260,31815264734
2606;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"P";30;"151-1";1;1262,11629345699
2632;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3000;"G";40;"151-1";1;1118,77567200961
2633;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"G";40;"151-1";1;1188,87589737227
