"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
865;42;"G";80;0,95;0,95;1;1;0,9;1500;"G";30;"1293-2";1;1832,07781627967
866;42;"G";80;0,95;0,95;1;1;0,9;1600;"G";30;"1293-2";1;1916,31320595476
867;42;"G";80;0,95;0,95;1;1;0,9;1700;"G";30;"1293-2";1;2032,94418529027
868;42;"G";80;1;0,95;1;1;0,95;1800;"G";30;"1293-2";1;2349,0022691409
869;42;"G";80;0,95;0,95;1;1;0,9;1500;"P";30;"1293-2";1;1825,29523482604
870;42;"G";80;0,95;0,95;1;1;0,9;1600;"P";30;"1293-2";1;1908,63056604958
871;42;"G";80;0,95;0,95;1;1;0,9;1700;"P";30;"1293-2";1;2026,76421330148
872;42;"G";80;1;0,95;1;1;0,95;1800;"P";30;"1293-2";1;2343,73016029736
873;42;"G";80;0,95;0,95;1;1;0,9;1500;"G";40;"1293-2";1;1808,11867232235
874;42;"G";80;0,95;0,95;1;1;0,9;1600;"G";40;"1293-2";1;1901,91288112818
875;42;"G";80;0,95;0,95;1;1;0,9;1700;"G";40;"1293-2";1;2014,3372056541
876;42;"G";80;1;0,95;1;1;0,95;1800;"G";40;"1293-2";1;2332,5745001801
877;42;"G";80;0,95;0,95;1;1;0,9;1500;"P";40;"1293-2";1;1801,33609086871
878;42;"G";80;0,95;0,95;1;1;0,9;1600;"P";40;"1293-2";1;1895,99678900049
879;42;"G";80;0,95;0,95;1;1;0,9;1700;"P";40;"1293-2";1;2008,15723366531
880;42;"G";80;1;0,95;1;1;0,95;1800;"P";40;"1293-2";1;2327,30239133657
881;42;"G";80;0,95;0,95;1;1;0,9;1500;"G";50;"1293-2";1;1808,11867232235
882;42;"G";80;0,95;0,95;1;1;0,9;1600;"G";50;"1293-2";1;1901,91288112818
883;42;"G";80;0,95;0,95;1;1;0,9;1700;"G";50;"1293-2";1;2014,3372056541
884;42;"G";80;1;0,95;1;1;0,95;1800;"G";50;"1293-2";1;2332,5745001801
885;42;"G";80;0,95;0,95;1;1;0,9;1500;"P";50;"1293-2";1;1801,33609086871
886;42;"G";80;0,95;0,95;1;1;0,9;1600;"P";50;"1293-2";1;1895,99678900049
887;42;"G";80;0,95;0,95;1;1;0,9;1700;"P";50;"1293-2";1;2008,15723366531
888;42;"G";80;1;0,95;1;1;0,95;1800;"P";50;"1293-2";1;2327,30239133657
889;42;"G";80;0,95;0,95;1;1;0,9;1500;"G";60;"1293-2";1;1808,11867232235
890;42;"G";80;0,95;0,95;1;1;0,9;1600;"G";60;"1293-2";1;1901,91288112818
891;42;"G";80;0,95;0,95;1;1;0,9;1700;"G";60;"1293-2";1;2014,3372056541
892;42;"G";80;1;0,95;1;1;0,95;1800;"G";60;"1293-2";1;2332,5745001801
893;42;"G";80;0,95;0,95;1;1;0,9;1500;"P";60;"1293-2";1;1801,33609086871
894;42;"G";80;0,95;0,95;1;1;0,9;1600;"P";60;"1293-2";1;1895,99678900049
895;42;"G";80;0,95;0,95;1;1;0,9;1700;"P";60;"1293-2";1;2008,15723366531
896;42;"G";80;1;0,95;1;1;0,95;1800;"P";60;"1293-2";1;2327,30239133657
