"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
868;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"G";30;"1293-2";1;2349,0022691409
872;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"P";30;"1293-2";1;2343,73016029736
876;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"G";40;"1293-2";1;2332,5745001801
880;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"P";40;"1293-2";1;2327,30239133657
884;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"G";50;"1293-2";1;2332,5745001801
888;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"P";50;"1293-2";1;2327,30239133657
892;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"G";60;"1293-2";1;2332,5745001801
896;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"P";60;"1293-2";1;2327,30239133657
900;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"G";70;"1293-2";1;2332,5745001801
904;52;"G";90;1;0,947368421052632;1;0,914473684210526;0,914473684210526;1800;"P";70;"1293-2";1;2327,30239133657
921;52;"G";90;0,980263157894737;0,947368421052632;1;0,914473684210526;0,914473684210526;2200;"G";30;"139-1";1;1437,77870955983
938;52;"G";90;0,980263157894737;0,947368421052632;1;0,914473684210526;0,914473684210526;2200;"P";30;"139-1";1;1427,69934448046
955;52;"G";90;0,967105263157895;0,947368421052632;1;0,914473684210526;0,914473684210526;2200;"G";40;"139-1";1;1343,95503406184
972;52;"G";90;0,967105263157895;0,947368421052632;1;0,914473684210526;0,914473684210526;2200;"P";40;"139-1";1;1335,37170072851
1195;52;"G";90;0,993421052631579;0,947368421052632;1;0,914473684210526;0,914473684210526;2300;"G";30;"140-1";1;1638,9808023572
1196;52;"G";90;0,993421052631579;0,947368421052632;1;0,914473684210526;0,914473684210526;2400;"G";30;"140-1";1;1904,43613326976
1215;52;"G";90;0,993421052631579;0,947368421052632;1;0,914473684210526;0,914473684210526;2300;"P";30;"140-1";1;1631,59701550913
1216;52;"G";90;0,993421052631579;0,947368421052632;1;0,914473684210526;0,914473684210526;2400;"P";30;"140-1";1;1898,25616128097
1235;52;"G";90;0,967105263157895;0,947368421052632;1;0,914473684210526;0,914473684210526;2300;"G";40;"140-1";1;1515,01640713779
1236;52;"G";90;0,980263157894737;0,947368421052632;1;0,914473684210526;0,914473684210526;2400;"G";40;"140-1";1;1762,80403059781
1255;52;"G";90;0,967105263157895;0,947368421052632;1;0,914473684210526;0,914473684210526;2300;"P";40;"140-1";1;1507,63262028972
1256;52;"G";90;0,980263157894737;0,947368421052632;1;0,914473684210526;0,914473684210526;2400;"P";40;"140-1";1;1756,62405860902
3008;52;"G";90;0,960526315789474;0,947368421052632;1;0,914473684210526;0,907894736842105;2800;"G";30;"152-2";1;1272,76043525632
3009;52;"G";90;0,967105263157895;0,947368421052632;1;0,914473684210526;0,907894736842105;2900;"G";30;"152-2";1;1274,82834937017
3010;52;"G";90;0,967105263157895;0,947368421052632;1;0,914473684210526;0,907894736842105;3000;"G";30;"152-2";1;1276,9263943064
3011;52;"G";90;0,973684210526316;0,947368421052632;1;0,914473684210526;0,907894736842105;3100;"G";30;"152-2";1;1279,0552384085
3035;52;"G";90;0,960526315789474;0,947368421052632;1;0,914473684210526;0,907894736842105;2800;"P";30;"152-2";1;1262,68107017696
