"tfz";"totalmass";"num_tfz";"vmax";"brh";"breakclass";"total_res";"t10";"sta"
"180-1";2100;1;80;58;"G";0,9123;696,611147911983;"1"
"DH1004-1";1200;1;40;12;"G";0,9286;1003,16767854521;"101"
"1293-2";1700;1;50;37;"G";0,9459;943,177170402928;"103"
"180-1";2000;1;80;52;"G";0,9153;683,697100033551;"105"
"140-1";2300;1;70;60;"G";0,9032;723,85325724153;"107"
"140-1";2400;1;70;55;"G";0,9091;733,904222747745;"109A"
"371-1";1900;1;60;53;"G";0,904;768,661911525833;"109B"
"180-1";2000;1;80;56;"G";0,9096;683,697100033551;"111"
"180-1";2000;1;80;55;"G";0,9286;683,697100033551;"113"
"140-1";2300;1;70;60;"G";0,92;723,85325724153;"115A"
"180-1";2000;1;80;60;"G";0,9811;683,697100033551;"115B"
"285-2";2400;1;60;34;"G";0,9;771,649345178635;"117"
"180-1";2000;1;80;47;"G";0,9074;683,697100033551;"119A"
"203-1";2000;1;50;58;"G";0,9231;896,575111917635;"11B"
"180-1";2000;1;80;60;"G";0,9194;683,697100033551;"121"
"203-1";1000;1;70;66;"G";0,9054;672,830015005864;"123"
"180-1";2000;1;80;60;"G";0,9153;683,697100033551;"125A"
"180-1";2000;1;80;54;"G";0,9169;683,697100033551;"125B"
"180-1";2000;1;80;64;"G";0,9008;683,697100033551;"125C"
"180-1";2000;1;80;54;"G";0,9169;683,697100033551;"127A"
"180-1";2000;1;80;61;"G";0,9041;683,697100033551;"127C"
"180-1";2000;1;80;61;"G";0,9041;683,697100033551;"127D"
"180-1";2000;1;80;64;"G";0,9172;683,697100033551;"127E"
"285-2";2400;1;60;35;"G";0,9118;771,649345178635;"129"
"180-1";2000;1;80;61;"G";0,91;683,697100033551;"129A"
"203-1";1000;1;70;60;"G";0,9036;672,830015005864;"131A"
"203-1";1000;1;70;61;"G";0,9026;672,830015005864;"131B"
"203-1";2000;1;50;53;"G";0,9116;896,575111917635;"133A"
"203-1";1400;1;60;50;"G";0,9057;764,758499235337;"133B"
"203-1";1000;1;70;55;"G";1;672,830015005864;"137"
"180-1";2000;1;80;54;"G";0,9189;683,697100033551;"139A"
"203-1";2000;1;50;53;"G";0,9184;896,575111917635;"139B"
"180-1";2000;1;80;50;"G";0,9245;683,697100033551;"143"
"G1206-3";2100;1;50;55;"P";0,9231;878,88802322441;"143B"
"203-1";1500;1;60;54;"G";0,92;777,771845793;"145B"
"371-1";2100;1;70;55;"G";0,9;754,804834295978;"147"
"371-1";1900;1;70;50;"G";0,9091;727,549096209975;"149"
"264-1";3300;1;70;44;"G";0,9412;764,299159305828;"15"
"1293-2";1700;1;50;40;"G";0,9444;943,177170402928;"151"
"180-1";2000;1;80;64;"G";0,9091;683,697100033551;"153"
"180-1";2000;1;80;64;"G";0,9008;683,697100033551;"155B"
"140-1";2300;1;70;64;"G";0,9241;723,85325724153;"157"
"140-1";2300;1;70;62;"G";0,9059;723,85325724153;"157A"
"140-1";2300;1;70;61;"G";0,9038;723,85325724153;"157B"
"180-1";2100;1;80;54;"G";0,9167;696,611147911983;"161"
"G1206-3";2100;1;50;62;"P";0,9259;878,88802322441;"163A"
"180-1";2000;1;80;56;"G";0,9012;683,697100033551;"163B"
"180-1";2100;1;80;53;"G";0,9574;696,611147911983;"165"
"180-1";2000;1;80;56;"G";0,9077;683,697100033551;"167"
"180-1";2000;1;80;56;"G";0,9077;683,697100033551;"167A"
"180-1";2000;1;80;65;"G";0,9066;683,697100033551;"169"
"180-1";2000;1;80;48;"G";0,9016;683,697100033551;"17"
"180-1";2000;1;80;62;"G";0,9026;683,697100033551;"171"
"180-1";2000;1;80;62;"G";0,9026;683,697100033551;"171A"
"1293-2";1700;1;50;42;"G";0,9;943,177170402928;"173A"
"180-1";2000;1;80;65;"G";0,9045;683,697100033551;"173B"
"180-1";2000;1;80;65;"G";0,9095;683,697100033551;"173C"
"180-1";2000;1;80;62;"G";0,9026;683,697100033551;"177A"
"180-1";2000;1;80;62;"G";0,9026;683,697100033551;"177B"
"180-1";2000;1;80;57;"G";0,9;683,697100033551;"181"
"180-1";2000;1;80;57;"G";0,9;683,697100033551;"183"
"G1206-3";2100;1;50;50;"P";0,9524;878,88802322441;"185"
"180-1";2000;1;80;54;"G";0,9169;683,697100033551;"187A"
"180-1";2000;1;80;54;"G";0,9169;683,697100033551;"187B"
"180-1";2000;1;80;56;"G";0,9038;683,697100033551;"19"
"285-2";2600;1;60;50;"P";0,9189;771,161830165714;"191"
"180-1";2000;1;80;58;"G";0,9329;683,697100033551;"193A"
"180-1";2000;1;80;60;"G";0,9135;683,697100033551;"193B"
"285-2";2600;1;60;61;"P";0,9216;771,161830165714;"195"
"285-2";2600;1;60;55;"P";0,913;771,161830165714;"195A"
"180-1";2000;1;80;53;"G";0,9074;683,697100033551;"197B"
"180-1";2000;1;80;58;"G";0,9329;683,697100033551;"201"
"203-1";1000;1;70;55;"G";0,9174;672,830015005864;"203"
"180-1";2000;1;80;54;"G";0,913;683,697100033551;"207A"
"264-1";3300;1;70;47;"G";0,9048;764,299159305828;"209"
"264-1";3400;1;60;50;"G";0,9153;769,664673257781;"21"
"180-1";2000;1;80;58;"G";0,9014;683,697100033551;"215A"
"180-1";2000;1;80;55;"G";0,935;683,697100033551;"215B"
"140-1";2300;1;70;61;"G";0,9388;723,85325724153;"221"
