"tfz";"totalmass";"num_tfz";"vmax";"brh";"breakclass";"total_res";"t10";"sta"
"185CL1-1";2600;1;30;58;"G";0,9123;624,36296541038;"1"
"G1700-1";1700;1;30;12;"G";0,9107;991,994119278658;"101"
"294-2";1700;1;30;38;"G";0,9189;845,788031163284;"103"
"189-2";2700;1;30;52;"G";0,9153;624,752739433442;"105"
"185CL1-1";2600;1;30;60;"G";0,9032;624,36296541038;"107"
"152-3";2700;1;30;50;"G";0,9091;645,590513498152;"109A"
"185CL1-1";2800;1;30;47;"G";0,904;654,906201072533;"109B"
"185CL1-1";2600;1;30;60;"G";0,9096;624,36296541038;"111"
"185CL1-1";2600;1;30;54;"G";0,9048;624,36296541038;"113"
"185CL1-1";2600;1;30;60;"G";0,92;624,36296541038;"115A"
"185CL1-1";2600;1;30;60;"G";0,9623;624,36296541038;"115B"
"152-3";2700;1;30;34;"G";0,9;645,590513498152;"117"
"152-3";2700;1;30;56;"G";0,9074;645,590513498152;"119A"
"225-1";1500;1;30;58;"G";0,9231;808,937479826145;"11B"
"152-3";2700;1;30;60;"G";0,9355;645,590513498152;"121"
"Re 421-1";1500;1;30;66;"G";0,9054;534,35687320148;"123"
"152-3";2700;1;30;64;"G";0,9322;645,590513498152;"125A"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"125B"
"185CL1-1";2600;1;30;63;"G";0,9008;624,36296541038;"125C"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"127A"
"185CL1-1";2600;1;30;60;"G";0,9178;624,36296541038;"127C"
"185CL1-1";2600;1;30;60;"G";0,9178;624,36296541038;"127D"
"185CL1-1";2600;1;30;65;"G";0,9053;624,36296541038;"127E"
"152-3";2700;1;30;35;"G";0,9118;645,590513498152;"129"
"185CL1-1";2600;1;30;61;"G";0,9;624,36296541038;"129A"
"Re 421-1";1500;1;30;58;"G";0,9036;534,35687320148;"131A"
"Re 421-1";1500;1;30;61;"G";0,9026;534,35687320148;"131B"
"180-1";2500;1;30;49;"G";0,9048;762,668243508505;"133A"
"152-2";2800;1;30;50;"G";0,9057;652,292161861027;"133B"
"Re 421-1";1500;1;30;55;"G";1;534,35687320148;"137"
"152-3";2700;1;30;54;"G";0,955;645,590513498152;"139A"
"180-1";2500;1;30;53;"G";0,9082;762,668243508505;"139B"
"152-3";2700;1;30;54;"G";0,9057;645,590513498152;"143"
"180-1";2600;1;30;55;"P";0,9231;754,126350349628;"143B"
"180-1";2500;1;30;54;"G";0,96;762,668243508505;"145B"
"189-2";2700;1;30;55;"G";0,9;624,752739433442;"147"
"225-1";1500;1;30;62;"G";0,9091;808,937479826145;"149"
"152-3";2700;1;30;54;"G";0,9412;645,590513498152;"15"
"294-2";1700;1;30;40;"G";1;845,788031163284;"151"
"185CL1-1";2600;1;30;64;"G";0,9091;624,36296541038;"153"
"185CL1-1";2600;1;30;63;"G";0,9008;624,36296541038;"155B"
"185CL1-1";2600;1;30;64;"G";0,9241;624,36296541038;"157"
"185CL1-1";2600;1;30;65;"G";0,9059;624,36296541038;"157A"
"185CL1-1";2600;1;30;60;"G";0,9038;624,36296541038;"157B"
"189-2";2800;1;30;54;"G";0,9028;650,977517127246;"161"
"180-1";2600;1;30;62;"P";0,9259;754,126350349628;"163A"
"185CL1-1";2600;1;30;56;"G";0,9012;624,36296541038;"163B"
"152-3";2700;1;30;50;"G";0,9149;645,590513498152;"165"
"152-3";2700;1;30;56;"G";0,9077;645,590513498152;"167"
"152-3";2700;1;30;56;"G";0,9077;645,590513498152;"167A"
"185CL1-1";2600;1;30;65;"G";0,9176;624,36296541038;"169"
"185CL1-1";2600;1;30;54;"G";0,9016;624,36296541038;"17"
"185CL1-1";2600;1;30;62;"G";0,9026;624,36296541038;"171"
"185CL1-1";2600;1;30;62;"G";0,9026;624,36296541038;"171A"
"294-2";1700;1;30;42;"G";0,95;845,788031163284;"173A"
"185CL1-1";2600;1;30;65;"G";0,9101;624,36296541038;"173B"
"185CL1-1";2600;1;30;65;"G";0,9146;624,36296541038;"173C"
"185CL1-1";2600;1;30;62;"G";0,9026;624,36296541038;"177A"
"185CL1-1";2600;1;30;62;"G";0,9026;624,36296541038;"177B"
"185CL1-1";2600;1;30;58;"G";0,9;624,36296541038;"181"
"185CL1-1";2600;1;30;58;"G";0,9;624,36296541038;"183"
"180-1";2600;1;30;50;"P";0,9524;754,126350349628;"185"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"187A"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"187B"
"185CL1-1";2600;1;30;56;"G";0,9231;624,36296541038;"19"
"152-2";3000;1;30;50;"P";0,9189;626,196106426631;"191"
"185CL1-1";2600;1;30;58;"G";0,9262;624,36296541038;"193A"
"185CL1-1";2600;1;30;60;"G";0,9135;624,36296541038;"193B"
"152-2";3000;1;30;61;"P";0,9216;626,196106426631;"195"
"152-2";3000;1;30;55;"P";0,913;626,196106426631;"195A"
"185CL1-1";2600;1;30;53;"G";0,9074;624,36296541038;"197B"
"185CL1-1";2600;1;30;58;"G";0,9262;624,36296541038;"201"
"Re 421-1";1500;1;30;55;"G";0,9083;534,35687320148;"203"
"185CL1-1";2600;1;30;53;"G";0,9348;624,36296541038;"207A"
"152-3";2700;1;30;47;"G";0,9048;645,590513498152;"209"
"189-2";2900;1;30;50;"G";0,9153;641,345524332543;"21"
"185CL1-1";2600;1;30;56;"G";0,9085;624,36296541038;"215A"
"185CL1-1";2600;1;30;55;"G";0,9187;624,36296541038;"215B"
"185CL1-1";2600;1;30;61;"G";0,9388;624,36296541038;"221"
"185CL1-1";2600;1;30;61;"G";0,9388;624,36296541038;"223"
"185CL1-1";2600;1;30;61;"G";0,9388;624,36296541038;"225"
"Re 421-1";1500;1;30;65;"G";0,9275;534,35687320148;"251"
"152-2";3000;1;30;67;"P";0,9412;626,196106426631;"253"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"279"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"287"
"185CL1-1";2600;1;30;60;"G";0,9178;624,36296541038;"289"
"185CL1-1";2600;1;30;64;"G";0,96;624,36296541038;"291"
"189-2";2800;1;30;52;"G";0,9079;632,91259551915;"293"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"295"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"297"
"185CL1-1";2600;1;30;54;"G";0,9169;624,36296541038;"299"
"152-3";2700;1;30;54;"G";0,951;645,590513498152;"303"
"152-2";3000;1;30;55;"P";0,9;626,196106426631;"305"
"185CL1-1";2600;1;30;56;"G";0,9023;624,36296541038;"31"
"185CL1-1";2600;1;30;44;"G";0,9041;624,36296541038;"319"
"185CL1-1";2600;1;30;56;"G";0,9023;624,36296541038;"329"
"185CL1-1";2600;1;30;37;"G";0,9059;624,36296541038;"33"
"185CL1-1";2600;1;30;56;"G";0,9512;624,36296541038;"35"
"180-1";2600;1;30;54;"P";0,9118;754,126350349628;"37"
"185CL1-1";2600;1;30;56;"G";0,9023;624,36296541038;"39A"
"185CL1-1";2600;1;30;60;"G";0,9153;624,36296541038;"39B"
"185CL1-1";2600;1;30;52;"G";0,9231;624,36296541038;"41"
"294-2";1700;1;30;51;"G";0,9487;845,788031163284;"43"
"185CL1-1";2600;1;30;56;"G";0,9023;624,36296541038;"47"
"180-1";2500;1;30;50;"G";0,9286;762,668243508505;"5"
"294-2";1700;1;30;56;"G";0,9146;845,788031163284;"53"
"185CL1-1";2600;1;30;58;"G";0,9036;624,36296541038;"55A"
"180-1";2500;1;30;55;"G";0,902;762,668243508505;"55B"
"189-2";2700;1;30;50;"G";0,9096;624,752739433442;"57A"
"185CL1-1";2600;1;30;56;"G";0,9254;624,36296541038;"57B"
"185CL1-1";2600;1;30;54;"G";0,9211;624,36296541038;"61"
"185CL1-1";2600;1;30;55;"G";0,9091;624,36296541038;"63B"
"185CL1-1";2600;1;30;53;"G";0,94;624,36296541038;"65"
"185CL1-1";2600;1;30;54;"G";0,9796;624,36296541038;"67"
"185CL1-1";2600;1;30;63;"G";0,9318;624,36296541038;"71"
"185CL1-1";2600;1;30;65;"G";0,9211;624,36296541038;"73"
"189-2";2800;1;30;55;"G";0,9038;632,91259551915;"741"
"185CL1-1";2600;1;30;61;"G";0,9245;624,36296541038;"75"
"185CL1-1";2600;1;30;56;"G";0,9012;624,36296541038;"777"
"185CL1-1";2600;1;30;56;"G";0,9274;624,36296541038;"77A"
"185CL1-1";2600;1;30;56;"G";0,9059;624,36296541038;"77B"
"185CL1-1";2600;1;30;60;"G";0,9096;624,36296541038;"79"
"Re 421-1";1500;1;30;61;"G";0,9065;534,35687320148;"81A"
"185CL1-1";2600;1;30;56;"G";0,9036;624,36296541038;"81B"
"185CL1-1";2600;1;30;56;"G";0,9036;624,36296541038;"87"
"185CL1-1";2600;1;30;58;"G";0,9036;624,36296541038;"89"
"Re 421-1";1500;1;30;62;"G";0,9091;534,35687320148;"91"
"185CL1-1";2600;1;30;60;"G";0,9064;624,36296541038;"93"
"Re 421-1";1500;1;30;65;"G";0,9141;534,35687320148;"95"
"185CL1-1";2600;1;30;60;"G";0,9064;624,36296541038;"97"
"G1700-1";1700;1;30;12;"G";0,9107;991,994119278658;"99"
"189-2";2800;1;30;55;"G";0,9038;632,91259551915;"9A"
