"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"228";206;52;"G";90;0,923076923076923;1;1;0,984615384615385;0,907692307692308;1;0;0;"G1700-2";1688;1;90;762,55635926115
"360";206;52;"P";80;0,923076923076923;1;0,984615384615385;1;0,907692307692308;0;0;1;"G1700-2";1688;1;90;744,699216404007
"89";14;52;"P";90;0,938461538461538;1;0,984615384615385;0,984615384615385;0,907692307692308;0;0;0;"211-1";2241;2;80;868,856009115219
"441";14;53;"G";80;0,938461538461538;0,953846153846154;1;1;0,907692307692308;0;1;0;"211-1";2241;2;80;883,736961496171
"180";128;53;"G";90;0,953846153846154;0,953846153846154;1;0,984615384615385;0,907692307692308;0;0;0;"9274-1";1980;1;80;1021,11895287679
"400";128;54;"G";80;0,953846153846154;0,938461538461538;1;1;0,907692307692308;0;0;0;"9274-1";1980;1;80;1021,11895287679
"312";128;53;"P";80;0,953846153846154;0,953846153846154;0,984615384615385;1;0,907692307692308;0;0;0;"9274-1";1980;1;80;1009,21419097202
"135";79;54;"G";90;0,969230769230769;0,938461538461538;1;0,984615384615385;0,907692307692308;0;0;0;"G1206-3";2087;1;80;883,367468423894
"47";79;53;"P";90;0,969230769230769;0,953846153846154;0,984615384615385;0,984615384615385;0,907692307692308;0;0;0;"G1206-3";2087;1;80;868,486516042941
"267";79;54;"P";80;0,969230769230769;0,938461538461538;0,984615384615385;1;0,907692307692308;0;0;0;"G1206-3";2087;1;80;868,486516042941
"9";420;54;"P";90;1;0,938461538461538;0,984615384615385;0,984615384615385;0,907692307692308;0;0;0;"DE1002-1";3990;1;80;1144,47065334214
