"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"11500";773;58;"G";90;0,909638554216867;0,987951807228916;1;0,993975903614458;0,903614457831325;0;0;0;"1116-1";1666;1;90;547,485801619173
"9066";622;56;"P";90;0,921686746987952;1;0,939759036144578;0,993975903614458;0,903614457831325;0;0;1;"185-2";3370;2;90;524,585875045123
"11116";646;60;"G";90;0,927710843373494;0,969879518072289;1;0,993975903614458;0,903614457831325;0;0;0;"G1206-3";1187;1;100;727,581528367244
"8388";646;58;"P";90;0,927710843373494;0,987951807228916;0,939759036144578;0,993975903614458;0,903614457831325;0;0;0;"G1206-3";1187;1;100;709,724385510101
"10572";9;61;"G";90;0,933734939759036;0,957831325301205;1;0,993975903614458;0,903614457831325;0;0;0;"295-1";1079;1;80;855,648379801309
"5154";122;58;"G";100;0,939759036144578;0,987951807228916;1;0,927710843373494;0,903614457831325;1;0;0;"4370-1";1890;1;100;570,146711767633
"4790";48;60;"G";100;0,94578313253012;0,969879518072289;1;0,927710843373494;0,903614457831325;0;1;0;"155-1";2323;1;100;611,480920131898
"10246";48;62;"G";90;0,94578313253012;0,94578313253012;1;0,993975903614458;0,903614457831325;0;0;0;"155-1";2323;1;100;611,480920131898
"7866";75;60;"P";90;0,969879518072289;0,969879518072289;0,939759036144578;0,993975903614458;0,903614457831325;0;0;0;"185-2";1885;1;90;537,631905914094
"4571";431;61;"G";100;0,975903614457831;0,957831325301205;1;0,927710843373494;0,903614457831325;0;0;0;"189-2";2066;1;100;556,25367350708
"10027";431;63;"G";90;0,975903614457831;0,91566265060241;1;0,993975903614458;0,903614457831325;0;0;0;"189-2";2066;1;100;572,537957747657
"9611";174;64;"G";90;0,987951807228916;0,909638554216867;1;0,993975903614458;0,903614457831325;0;0;0;"260-2";1484;1;90;762,242940439577
"4094";12;62;"G";100;1;0,94578313253012;1;0,927710843373494;0,903614457831325;0;0;0;"ER 20D-2";1880;1;80;746,259039057994
"9209";12;65;"G";90;1;0,903614457831325;1;0,993975903614458;0,903614457831325;0;0;0;"ER 20D-2";1880;1;80;746,259039057994
