"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"7091";75;58;"G";80;0,9;0,97;1;1;0,9;0;0;0;"185-2";1885;1;90;593,06434141548
"3551";597;56;"G";90;0,915;0,985;1;0,965;0,9;1;0;0;"4370-1";2090;1;100;585,53710529832
"6631";297;60;"G";80;0,915;0,945;1;1;0,9;0;0;0;"ER 20D-5";1530;1;100;733,162500257992
"2944";220;58;"G";90;0,92;0,97;1;0,965;0,9;0;0;0;"155-1";2523;1;100;638,930266158427
"2417";215;60;"G";90;0,935;0,945;1;0,965;0,9;0;0;0;"151-1";2418;1;90;601,387560973004
"6476";803;61;"G";80;0,945;0,91;1;1;0,9;0;0;0;"1144-1";1584;1;100;615,462594995597
"5944";772;54;"P";80;0,945;0,995;0,945;1;0,9;0;0;0;"232-2";2072;1;90;720,287292515375
"2283";799;61;"G";90;0,96;0,91;1;0,965;0,9;0;1;0;"1144-1";1644;1;100;597,412986868961
"5545";161;56;"P";80;0,96;0,985;0,945;1;0,9;0;0;0;"189-2";2486;1;90;601,615224519492
"5312";276;57;"P";80;0,965;0,975;0,945;1;0,9;0;0;0;"152-3";2587;1;90;608,86553555092
"1598";108;54;"P";90;0,97;0,995;0,945;0,965;0,9;0;0;0;"4370-1";2290;1;100;575,672818044245
"5234";1034;58;"P";80;0,97;0,97;0,945;1;0,9;0;0;0;"6186-1";2259;1;100;590,768247101677
"1320";37;56;"P";90;0,975;0,985;0,945;0,965;0,9;0;0;1;"185-2";2235;1;90;562,087089026413
"790";20;58;"P";90;0,98;0,97;0,945;0,965;0,9;0;0;0;"189-2";2786;1;90;597,967025147728
"4875";661;59;"P";80;0,99;0,955;0,945;1;0,9;0;0;0;"145-2";2580;1;90;620,703742765226
