"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"9189";159;60;"G";80;0,909090909090909;0,98989898989899;1;1;0,909090909090909;0;0;0;"189-2";2186;1;90;607,736523002152
"7412";646;61;"P";80;0,929292929292929;0,97979797979798;0,96969696969697;1;0,909090909090909;0;0;0;"G1206-3";1187;1;100;709,724385510101
"4318";48;60;"P";90;0,939393939393939;0,98989898989899;0,96969696969697;0,96969696969697;0,909090909090909;0;0;1;"155-1";2323;1;100;584,695205846183
"1077";9;60;"P";100;0,94949494949495;0,98989898989899;0,96969696969697;0,939393939393939;0,909090909090909;1;1;0;"295-1";1079;1;80;840,767427420357
"4036";9;61;"P";90;0,94949494949495;0,97979797979798;0,96969696969697;0,96969696969697;0,909090909090909;0;0;0;"295-1";1079;1;80;840,767427420357
"8609";9;62;"G";80;0,94949494949495;0,94949494949495;1;1;0,909090909090909;0;0;0;"295-1";1079;1;80;855,648379801309
"5398";67;62;"G";90;0,95959595959596;0,94949494949495;1;0,96969696969697;0,909090909090909;0;0;0;"152-3";2487;1;100;602,947314790902
"8357";67;65;"G";80;0,95959595959596;0,939393939393939;1;1;0,909090909090909;0;0;0;"152-3";2487;1;100;626,443326496121
"906";421;61;"P";100;0,96969696969697;0,97979797979798;0,96969696969697;0,939393939393939;0,909090909090909;0;0;0;"G1206-1";1890;1;80;832,861234470851
"5123";43;65;"G";90;0,96969696969697;0,939393939393939;1;0,96969696969697;0,909090909090909;0;0;0;"140-1";1683;1;100;611,116644537155
"3865";421;62;"P";90;0,96969696969697;0,94949494949495;0,96969696969697;0,96969696969697;0,909090909090909;0;0;0;"G1206-1";1890;1;80;832,861234470851
"2199";166;62;"G";100;0,97979797979798;0,94949494949495;1;0,939393939393939;0,909090909090909;0;0;0;"294-3";1245;1;80;850,819216636849
"8117";166;66;"G";80;0,97979797979798;0,919191919191919;1;1;0,909090909090909;0;0;0;"294-3";1245;1;80;850,819216636849
"1889";32;65;"G";100;0,98989898989899;0,939393939393939;1;0,939393939393939;0,909090909090909;0;0;0;"295-1";1279;1;80;889,006873563089
"544";32;62;"P";100;0,98989898989899;0,94949494949495;0,96969696969697;0,939393939393939;0,909090909090909;0;0;0;"295-1";1279;1;80;874,125921182136
"4848";32;66;"G";90;0,98989898989899;0,919191919191919;1;0,96969696969697;0,909090909090909;0;0;0;"295-1";1279;1;80;889,006873563089
"3503";32;65;"P";90;0,98989898989899;0,939393939393939;0,96969696969697;0,96969696969697;0,909090909090909;0;0;0;"295-1";1279;1;80;874,125921182136
