"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"10187";156;55;"G";80;0,901408450704225;0,97887323943662;1;1;0,901408450704225;0;0;0;"G2000-1";1687;1;100;684,211987516647
"6779";431;54;"G";90;0,908450704225352;0,985915492957746;1;0,97887323943662;0,901408450704225;1;0;1;"189-2";2066;1;100;572,537957747657
"6463";195;55;"G";90;0,915492957746479;0,97887323943662;1;0,97887323943662;0,901408450704225;0;0;0;"182-2";2086;1;100;573,994915778448
"9889";37;56;"G";80;0,950704225352113;0,929577464788732;1;1;0,901408450704225;0;0;0;"185-2";2235;1;90;613,144563298515
"6153";43;56;"G";90;0,957746478873239;0,929577464788732;1;0,97887323943662;0,901408450704225;0;1;0;"140-1";1683;1;100;611,116644537155
"9686";280;58;"G";80;0,964788732394366;0,915492957746479;1;1;0,901408450704225;0;0;0;"155-1";2773;1;90;658,748418404251
"9080";14;41;"P";80;0,985915492957746;1;0,915492957746479;1;0,901408450704225;0;0;0;"211-1";2241;2;80;868,856009115219
"2688";79;55;"G";100;1;0,97887323943662;1;0,901408450704225;0,901408450704225;0;0;0;"G1206-3";2087;1;80;883,367468423894
"5625";79;60;"G";90;1;0,908450704225352;1;0,97887323943662;0,908450704225352;0;0;0;"G1206-3";2087;1;80;883,367468423894
"8562";79;54;"P";80;1;0,985915492957746;0,915492957746479;1;0,901408450704225;0;0;0;"G1206-3";2087;1;80;868,486516042941
