"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"1730";206;40;"G";70;0,901315789473684;1;1;1;0,901315789473684;0;0;1;"G1700-2";1688;1;90;762,55635926115
"1135";14;40;"G";80;0,914473684210526;1;1;0,993421052631579;0,907894736842105;0;0;0;"211-1";2241;2;80;883,736961496171
"1639";14;50;"G";70;0,914473684210526;0,980263157894737;1;1;0,901315789473684;0;0;0;"211-1";2241;2;80;883,736961496171
"1052";57;50;"G";80;0,921052631578947;0,980263157894737;1;0,993421052631579;0,907894736842105;0;0;0;"264-1";3456;1;80;765,887583017809
"1570";470;54;"G";70;0,947368421052632;0,927631578947368;1;1;0,901315789473684;0;0;0;"66-2";3726;1;90;876,356908242111
"998";923;54;"G";80;0,953947368421053;0,927631578947368;1;0,993421052631579;0,901315789473684;0;0;0;"246-1";2482;1;80;861,830255963242
"1544";923;55;"G";70;0,953947368421053;0,921052631578947;1;1;0,901315789473684;0;0;0;"246-1";2482;1;80;861,830255963242
"961";1009;55;"G";80;0,960526315789474;0,921052631578947;1;0,993421052631579;0,901315789473684;0;0;0;"G1206-3";1937;1;100;869,30840562165
"446";758;52;"G";90;0,973684210526316;0,947368421052632;1;0,914473684210526;0,907894736842105;1;1;0;"203-1";1598;1;100;781,902042638094
"895";432;56;"G";80;0,980263157894737;0,901315789473684;1;0,993421052631579;0,901315789473684;0;0;0;"203-1";1868;1;90;876,915924242969
"843";79;40;"P";80;0,993421052631579;1;0,914473684210526;0,993421052631579;0,907894736842105;0;0;0;"G1206-3";2087;1;80;868,486516042941
"808";420;47;"P";80;1;0,986842105263158;0,914473684210526;0,993421052631579;0,901315789473684;0;0;0;"DE1002-1";3990;1;80;1144,47065334214
