"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"12295";62;58;"G";80;0,90625;0,9921875;1;1;0,90625;0;0;0;"185CL1-1";1684;1;100;582,135846391587
"7698";333;60;"G";90;0,9140625;0,9765625;1;0,9921875;0,90625;0;0;0;"Re 482-2";1864;1;100;557,724416069234
"7251";85;61;"G";90;0,9296875;0,96875;1;0,9921875;0,9140625;0;0;0;"145-2";1680;1;120;559,441126695869
"5446";85;60;"P";90;0,9296875;0,9765625;0,96875;0,9921875;0,90625;0;0;0;"145-2";1680;1;120;532,655412410154
"3282";87;60;"G";100;0,9375;0,9765625;1;0,953125;0,90625;1;0;0;"189-2";1786;1;90;535,005678925688
"6892";87;62;"G";90;0,9375;0,953125;1;0,9921875;0,90625;0;0;0;"189-2";1786;1;90;554,725353649197
"5087";87;61;"P";90;0,9375;0,96875;0,96875;0,9921875;0,90625;0;0;0;"189-2";1786;1;90;527,939639363483
"2911";68;61;"G";100;0,9453125;0,96875;1;0,953125;0,90625;0;0;0;"152-3";1887;1;100;542,979544343935
"6521";68;65;"G";90;0,9453125;0,9453125;1;0,9921875;0,90625;0;0;0;"152-3";1887;1;100;561,774024874903
"2559";86;62;"G";100;0,9609375;0,953125;1;0,953125;0,90625;0;0;0;"185-2";1785;1;100;540,903341850355
"754";86;61;"P";100;0,9609375;0,96875;0,96875;0,953125;0,90625;0;1;1;"185-2";1785;1;100;511,14143708845
"4364";86;65;"P";90;0,9609375;0,9453125;0,96875;0,9921875;0,90625;0;0;0;"185-2";1785;1;100;531,075275018578
"2169";13;65;"G";100;0,96875;0,9453125;1;0,953125;0,90625;0;0;0;"185-2";1795;1;90;541,706732723523
