"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"671";164;47;"G";60;0,904761904761905;1;1;1;0,904761904761905;1;0;1;"294-3";1480;1;80;881,272152419471
"436";14;47;"G";70;0,918367346938776;1;1;0,986394557823129;0,904761904761905;0;0;0;"211-1";2241;2;80;883,736961496171
"610";14;53;"G";60;0,918367346938776;0,986394557823129;1;1;0,904761904761905;0;0;0;"211-1";2241;2;80;883,736961496171
"206";128;47;"G";80;0,925170068027211;1;1;0,979591836734694;0,904761904761905;0;0;0;"9274-1";1980;1;80;1021,11895287679
"409";128;49;"G";70;0,925170068027211;0,993197278911565;1;0,986394557823129;0,904761904761905;0;0;0;"9274-1";1980;1;80;1021,11895287679
"180";177;49;"G";80;0,931972789115646;0,993197278911565;1;0,979591836734694;0,904761904761905;0;0;0;"G1206-1";2590;1;80;1016,52311609825
"383";177;53;"G";70;0,931972789115646;0,986394557823129;1;0,986394557823129;0,904761904761905;0;0;0;"G1206-1";2590;1;80;1016,52311609825
"159";676;53;"G";80;0,938775510204082;0,986394557823129;1;0,979591836734694;0,904761904761905;0;0;0;"1293-2";1680;1;65;921,334459946183
"594";676;54;"G";60;0,938775510204082;0,965986394557823;1;1;0,904761904761905;0;0;0;"1293-2";1680;1;65;921,334459946183
"353";175;54;"G";70;0,952380952380952;0,965986394557823;1;0,986394557823129;0,904761904761905;0;1;0;"G1206-1";2690;1;80;1021,47582818879
"131";711;54;"G";80;0,965986394557823;0,965986394557823;1;0,979591836734694;0,91156462585034;0;0;0;"294-1";1764;1;40;1056,52845475141
"566";711;55;"G";60;0,965986394557823;0,938775510204082;1;1;0,904761904761905;0;0;0;"294-1";1764;1;40;1056,52845475141
"321";79;55;"G";70;0,979591836734694;0,938775510204082;1;0,986394557823129;0,904761904761905;0;0;0;"G1206-3";2087;1;80;883,367468423894
"524";79;56;"G";60;0,979591836734694;0,925170068027211;1;1;0,904761904761905;0;0;0;"G1206-3";2087;1;80;883,367468423894
"111";1023;55;"G";80;0,986394557823129;0,938775510204082;1;0,979591836734694;0,904761904761905;0;0;0;"247-1";4809;1;90;1032,66786239258
"517";1023;57;"G";60;0,986394557823129;0,918367346938776;1;1;0,904761904761905;0;0;0;"247-1";4809;1;90;1032,66786239258
"298";430;56;"G";70;0,993197278911565;0,925170068027211;1;0,986394557823129;0,904761904761905;0;0;0;"G1206-3";2187;1;80;893,736394836174
"472";430;58;"G";60;0,993197278911565;0,91156462585034;1;1;0,904761904761905;0;0;0;"G1206-3";2187;1;80;893,736394836174
"65";420;56;"G";80;1;0,925170068027211;1;0,979591836734694;0,904761904761905;0;0;0;"DE1002-1";3990;1;80;1155,78017715167
"268";420;57;"G";70;1;0,918367346938776;1;0,986394557823129;0,904761904761905;0;0;0;"DE1002-1";3990;1;80;1155,78017715167
