"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"18987";68;56;"G";80;0,902621722846442;0,99625468164794;1;1;0,902621722846442;0;0;0;"152-3";1887;1;100;591,833930397203
"18400";249;58;"G";80;0,906367041198502;0,9812734082397;1;1;0,902621722846442;0;0;0;"185-2";1705;1;90;583,314045957767
"12427";9;56;"G";90;0,910112359550562;0,99625468164794;1;0,98501872659176;0,902621722846442;0;0;0;"295-1";1079;1;80;855,648379801309
"11794";73;58;"G";90;0,913857677902622;0,9812734082397;1;0,98501872659176;0,902621722846442;0;0;0;"155-1";2223;1;90;601,881986924009
"17934";911;60;"G";80;0,921348314606742;0,958801498127341;1;1;0,902621722846442;0;0;0;"180-1";1184;1;100;591,207956628978
"11121";13;60;"G";90;0,925093632958802;0,958801498127341;1;0,98501872659176;0,902621722846442;0;0;1;"185-2";1795;1;90;558,508845243456
"17334";13;61;"G";80;0,925093632958802;0,943820224719101;1;1;0,902621722846442;0;0;0;"185-2";1795;1;90;588,143107158236
"10807";48;61;"G";90;0,928838951310861;0,943820224719101;1;0,98501872659176;0,902621722846442;0;0;0;"155-1";2323;1;100;611,480920131898
"17019";47;62;"G";80;0,936329588014981;0,925093632958802;1;1;0,902621722846442;0;0;0;"155-1";2373;1;100;628,01693234428
"15755";166;56;"P";80;0,940074906367041;0,99625468164794;0,943820224719101;1;0,902621722846442;0;0;0;"294-3";1245;1;80;835,938264255897
"5461";751;58;"G";100;0,943820224719101;0,9812734082397;1;0,917602996254682;0,902621722846442;1;0;0;"232-2";1922;1;90;693,187512792877
"10531";188;62;"G";90;0,943820224719101;0,925093632958802;1;0,98501872659176;0,902621722846442;0;0;0;"185-2";1880;1;100;564,085595594492
"4596";50;60;"G";100;0,951310861423221;0,958801498127341;1;0,917602996254682;0,902621722846442;0;0;0;"140-1";1548;1;100;594,85697223761
"9337";569;56;"P";90;0,951310861423221;0,99625468164794;0,943820224719101;0,98501872659176;0,902621722846442;0;0;0;"212-1";963;1;80;744,393554925318
"16695";50;63;"G";80;0,951310861423221;0,906367041198502;1;1;0,902621722846442;0;0;0;"140-1";1548;1;100;615,847475350404
"15060";50;58;"P";80;0,951310861423221;0,9812734082397;0,943820224719101;1;0,902621722846442;0;0;0;"140-1";1548;1;100;592,03795154088
"4353";297;61;"G";100;0,955056179775281;0,943820224719101;1;0,917602996254682;0,902621722846442;0;1;0;"ER 20D-5";1530;1;100;733,162500257992
"16452";297;65;"G";80;0,955056179775281;0,902621722846442;1;1;0,902621722846442;0;0;0;"ER 20D-5";1530;1;100;733,162500257992
"8746";803;58;"P";90;0,973782771535581;0,9812734082397;0,943820224719101;0,98501872659176;0,902621722846442;0;0;0;"1144-1";1584;1;100;564,252274556564
"8496";1034;59;"P";90;0,99250936329588;0,966292134831461;0,943820224719101;0,98501872659176;0,902621722846442;0;0;0;"6186-1";2259;1;100;563,859631330443
"14394";20;60;"P";80;0,99625468164794;0,958801498127341;0,943820224719101;1;0,902621722846442;0;0;0;"189-2";2786;1;90;620,549548046808
