"";"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"select_av";"select_all";"select_t10";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
"123";26;53;"G";90;0,9;1;1;0,96;0,9;1;0;1;"28-1";2385;1;90;600,184697353645
"9";57;53;"P";90;0,96;1;0,94;0,96;0,9;0;1;0;"264-1";3456;1;80;748,030440160666
