"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"G2";3001;1;1,04551451021291;1,25681929644764
"s90";1815;1,01288718262634;1,34040034551368;2,11972832692959
"G4";1120;1;1,10396606198807;1,41622521105219
"G5";671;1;1,11730132453424;1,36294455699284
"G3";597;1;1,06960713812098;1,33846881700405
"G12";590;1,00646970913198;1,18511371395719;1,46608563730878
"G9";233;1,04652457002872;1,18376423258775;1,63401438369358
"G1";226;1;1,1394361714377;1,34735948120891
"G10";169;1,02026715762301;1,15076819589717;1,39473616764742
"G7";111;1;1,15466765545562;1,55963278210329
"G11";93;1,0340970293846;1,24394250193483;1,62887199415696
"G6";76;1,0135953704927;1,19648491730004;1,59046308738734
"G8";30;1,00081193151138;1,231502770019;1,39938004326938
