"BTS";"NUM_TRAINS";"NUM_NOSYS";"SUM_T10_TRAINS";"SUM_T10_SYS";"MIN_BFQ";"Q25_BFQ";"Q50_BFQ";"Q75_BFQ";"MAX_BFQ";"ANZ_SYS"
"1";57;3;32876,5176298167;36950,5742895156;1;1,0488272621908;1,13442888198142;1,18056733640684;1,42616059488369;2
"101";14;2;8487,90420244997;9474,99540237062;1;1,04896147369126;1,11381028462708;1,25885559950757;1,3458365430409;2
"103";37;2;26354,2723689876;31641,9065046563;1;1,02476227480874;1,14510715437219;1,27748272459019;1,72232699889101;3
"105";59;5;37246,7897191703;41082,1607484826;1;1,04707236236434;1,09791422459126;1,15140408495474;1,54070653624177;2
"107";31;1;17901,5649108373;21602,2884223701;1;1,11940362231826;1,19135548968731;1,27769701074794;1,60068705458837;2
"109A";66;5;40712,260224367;50638,1842398831;1;1,1067144945861;1,18511371395719;1,43331091389391;1,76668603444629;2
"109B";198;14;130859,163665629;162367,278930267;1;1,1296794093715;1,22709070508111;1,37811924695684;1,68212642229369;2
"111";42;4;24394,1327716091;27784,2987341696;1;1,0064471530352;1,12153011558385;1,19760752462237;1,47743413554002;2
"113";84;8;51755,3362762142;60969,5163148206;1;1;1,18276890898113;1,36184567219829;1,53730002876309;2
"115A";25;2;13802,4272010145;15052,9303344586;1;1,01436616295122;1,04681723038326;1,18186807841695;1,37173723898737;3
"115B";53;1;27274,1387619217;31165,3404324889;1;1,02881937463458;1,08202845717839;1,22470273075628;1,47147885186924;2
"117";80;7;51981,9476116229;61428,0313008352;1;1;1,19855399978628;1,33985474472418;1,67365946929039;2
"119A";54;3;29371,5010592164;33556,2078313599;1;1,0630390649803;1,14095367250836;1,20303675936488;1,37948741449604;2
"11B";26;1;18446,9819935224;22406,4382910656;1;1,07895060890147;1,24032629714174;1,30107756945068;1,57468685089598;3
"121";62;4;33926,6402361038;38200,6120311169;1;1,01395969799434;1,05037040024183;1,25797056514599;1,42979514020699;2
"123";74;1;36970,231965936;39938,7451698439;1;1,04002057427387;1,07631837427838;1,10084327379065;1,50744512908447;2
"125A";59;5;32943,1529018898;36921,0965432542;1;1,02881937463458;1,04551451021291;1,22758840627439;1,42616059488369;2
"125B";40;1;21090,5948572055;23494,978628796;1;1,02881006449818;1,04794245522737;1,16054516693314;1,41088923309356;2
"125C";38;0;19914,8695737575;22153,5316027503;1,000592689785;1,00596389067176;1,04716149673986;1,1112791933793;1,41088923309356;2
"127A";25;5;14928,2687601949;16243,9399699607;1;1,0064471530352;1,10256986761002;1,13037989733441;1,47158060912136;2
"127C";40;3;20808,2356287381;23210,813690591;1;1,01043506398211;1,04859381531254;1,17163022776507;1,50744512908447;2
"127D";8;0;4203,44520412795;4635,12061345853;1,0064471530352;1,09785105998118;1,11925842243823;1,12314412154899;1,13887961603988;1
"127E";169;10;89226,120136647;100869,9905523;1;1,01395969799434;1,05501132618534;1,21641140465974;1,47158060912136;2
"129";34;3;21472,3294770762;25545,41244501;1;1,04672848272014;1,10564848005065;1,28058589936382;1,98868744057218;2
"129A";200;13;104275,964423781;113920,169898793;1;1,01383042699681;1,04306851422587;1,1014103622726;1,59777733470489;2
"131A";166;4;83860,1093620851;91623,2853913515;1;1,01436616295122;1,04616587029808;1,14471350710875;1,59777733470489;2
"131B";267;14;136924,932848282;148002,680902467;1;1,01305663232075;1,04306851422587;1,10084327379065;1,59777733470489;2
"133A";147;12;124026,573194699;143541,180641555;1;1,08262620803658;1,15858768067038;1,30895510956261;1,78228975261117;3
"133B";106;10;115532,863953779;129749,877925965;1;1,11275933625084;1,21173145641589;1,32120396303302;1,62246177182844;2
"137";16;0;8556,69480224462;9270,15826132435;1,000592689785;1,000592689785;1,02768820578123;1,02768820578123;1,36892084387834;2
"139A";111;9;64908,3542382757;74893,9585227076;1;1,02881937463458;1,1190342359402;1,2691220458808;1,6618818279295;2
"139B";98;8;66451,5218880346;78600,3499717393;1;1,11387495802978;1,1574702885091;1,21645696603928;1,65942050775249;3
"143";53;4;30282,2926407056;36203,5694138813;1;1,13389187024459;1,18358847239122;1,27296460080301;1,60596367137158;2
"143B";39;2;21001,645331835;22914,8961834638;1;1,03388914664792;1,09406361477681;1,11750036517317;1,51703851847518;3
"145B";25;1;16543,7923957997;19659,4910424489;1;1,07725547355176;1,15068862226817;1,25539207222882;1,64581155602211;2
"147";40;4;25721,4460930698;30338,7908825258;1;1,07531262186017;1,12076962902162;1,2356913815241;1,60698089762369;2
"149";99;14;58540,0946125265;65740,359167452;1;1,03347622983497;1,05993556618573;1,2497789689117;1,56073842809639;2
"15";17;1;11645,3062772622;13726,0098119411;1;1,09568752324383;1,14897151503399;1,28008035581231;1,49048152005542;2
"151";18;1;13266,8484298228;15996,3291700251;1;1,00372830401658;1,12205412603026;1,25476715700173;1,87298530327697;3
"153";176;8;95170,8283662655;108783,963849387;1;1,08858985626119;1,11392537614832;1,19551609697677;1,44061435533073;2
"155B";83;9;49403,6732486011;54706,5768624696;1;1,0377845410129;1,10173001389211;1,16151634018349;1,35339981797775;2
"157";79;4;42772,0492763564;50336,8710204011;1;1,10173938326041;1,14948239975064;1,23108273654916;1,60068705458837;2
"157A";85;7;45756,6080470927;53335,9785675377;1;1,10173938326041;1,14775474885781;1,23108273654916;1,49779389033366;2
"157B";104;10;57797,1483851018;67463,2027841706;1;1,01395969799434;1,06184196640561;1,28412608836023;1,63139811280678;2
"161";72;5;42992,8264818224;51242,8816459519;1;1,06729808660007;1,18554325208941;1,35581209984465;1,45574369252601;2
"163A";27;2;14994,5989088027;16220,439663116;1;1,00372830401658;1,05037040024183;1,13895139605566;1,23703369945184;3
"163B";78;7;41279,0681568616;45799,7774367945;1;1,000592689785;1,02650588538125;1,20097949587709;1,60537164384901;2
"165";47;4;27347,8269884061;30805,1917096074;1;1,04918685627976;1,15511837243588;1,18836968048971;1,36885198978729;3
"167";40;1;21742,7933550818;25120,843000769;1;1,11957580780118;1,14492569929208;1,21914312172264;1,33043144126777;2
