"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;37;"151-1";1;90;464;2118;"P";66;TRUE;1;"NGz";552,323069760066;568,807015689521;1,02984475360882;"G19"
2;1010;"145-2";1;120;593;1530;"P";86;TRUE;1;"FGz";505,131433296335;568,807015689521;1,12605745395344;"G19"
3;48987;"185-2";2;90;398;1880;"P";70;TRUE;1;"NGz";481,591235936846;568,807015689521;1,1810991837985;"G19"
4;60116;"185-2";1;120;669;1285;"P";74;TRUE;1;"FGz";474,404891661309;568,807015689521;1,19899062106553;"G19"
5;60766;"185-2";1;90;509;1955;"P";64;TRUE;1;"FGz";542,328282210362;568,807015689521;1,04882417964861;"G19"
6;62022;"185-2";1;90;469;1535;"P";70;TRUE;1;"NGz";515,405664058586;568,807015689521;1,10361033134643;"G19"
7;79425;"ER 20D-5";1;100;559;730;"P";80;FALSE;0;"NGz";525,006938707552;778,273586937253;1,48240628753057;"s90"
8;95394;"183-1";1;100;570;1857;"P";75;TRUE;1;"NGz";510,123375897918;568,807015689521;1,11503813109585;"G19"
9;41775;"185-2";1;90;619;1935;"G";72;TRUE;1;"GzG";567,76291676611;778,273586937253;1,37077213737413;"s90"
10;42458;"155-1";1;100;599;1523;"P";80;TRUE;1;"FGz";500,463319195555;568,807015689521;1,13656085046117;"G19"
11;42466;"155-1";1;100;618;1523;"P";80;TRUE;1;"NGz";500,463319195555;568,807015689521;1,13656085046117;"G19"
12;45424;"155-1";1;100;619;1123;"P";72;TRUE;1;"FGz";468,829936811837;568,807015689521;1,21324806934803;"G19"
13;45430;"155-1";1;100;619;1123;"P";72;TRUE;1;"FGz";468,829936811837;568,807015689521;1,21324806934803;"G19"
14;49407;"155-1";1;100;619;1323;"P";70;TRUE;1;"FGz";483,963555387067;568,807015689521;1,17530960618429;"G19"
15;50008;"145-2";1;120;593;1280;"P";90;TRUE;1;"FGz";483,071496971657;568,807015689521;1,17747997813022;"G19"
16;51474;"155-1";1;100;694;2023;"G";65;TRUE;1;"GzG";584,27852617506;778,273586937253;1,3320249710907;"s90"
17;51478;"155-1";1;100;661;2023;"G";65;TRUE;1;"GzG";584,27852617506;778,273586937253;1,3320249710907;"s90"
18;51480;"155-1";1;100;694;2023;"G";65;TRUE;1;"GzG";584,27852617506;778,273586937253;1,3320249710907;"s90"
19;51496;"155-1";1;100;694;1913;"G";65;TRUE;1;"GzG";575,328930622893;778,273586937253;1,35274543919534;"s90"
20;51498;"155-1";1;100;661;1723;"P";65;TRUE;1;"GzG";518,721061789015;568,807015689521;1,09655662279793;"G19"
21;51537;"155-1";1;100;654;1723;"P";65;TRUE;1;"FGz";518,721061789015;568,807015689521;1,09655662279793;"G19"
22;51539;"155-1";1;100;640;1723;"P";65;TRUE;1;"FGz";518,721061789015;568,807015689521;1,09655662279793;"G19"
23;51547;"155-1";1;100;640;1723;"P";65;TRUE;1;"FGz";518,721061789015;568,807015689521;1,09655662279793;"G19"
24;60767;"185-2";1;100;439;685;"P";110;TRUE;1;"FGz";436,889953946585;568,807015689521;1,30194574297551;"G19"
25;60770;"155-1";1;90;439;2123;"P";67;TRUE;1;"Gz";566,057455200196;778,273586937253;1,37490210540908;"s90"
26;62058;"185-2";1;90;419;1885;"P";70;TRUE;1;"NGz";537,631905914094;568,807015689521;1,05798597410699;"G19"
27;62950;"185-2";1;100;419;685;"P";70;TRUE;1;"NGz";436,889953946585;568,807015689521;1,30194574297551;"G19"
28;62955;"185-2";1;90;339;1785;"P";56;TRUE;1;"NGz";531,075275018578;568,807015689521;1,07104782023532;"G19"
29;69321;"264-1";1;90;622;1146;"P";70;FALSE;0;"NGz";503,271514856749;568,807015689521;1,13021897504258;"G19"
30;69322;"185-2";1;90;609;2435;"P";62;TRUE;1;"NGz";577,298397795873;577,298397795873;1;"no"
31;69359;"66-1";1;90;620;1076;"P";68;FALSE;0;"NGz";521,725342880964;778,273586937253;1,49173046231496;"s90"
32;69412;"185-2";1;90;609;985;"P";88;TRUE;1;"FGz";484,035745960796;568,807015689521;1,17513431690971;"G19"
33;93938;"264-1";1;100;473;656;"P";75;FALSE;0;"NGz";442,945160159485;568,807015689521;1,28414771590397;"G19"
34;95438;"185-2";1;100;569;635;"P";74;TRUE;1;"NGz";434,011424045032;568,807015689521;1,31058074552089;"G19"
35;99743;"66-1";1;90;615;1466;"P";65;FALSE;0;"FGz";580,159898377946;778,273586937253;1,3414811832276;"s90"
36;43388;"155-1";1;100;639;1123;"P";70;TRUE;1;"NGz";468,829936811837;568,807015689521;1,21324806934803;"G19"
37;48540;"145-2";1;100;607;1379;"P";72;TRUE;1;"NGz";491,404347143982;568,807015689521;1,15751319457266;"G19"
38;95439;"185-2";1;90;629;2285;"P";68;TRUE;1;"NGz";565,796219216679;568,807015689521;1,00532134427658;"G19"
