"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"G2";3141;1;1,04551451021291;1,25681929644764
"s90";1841;1;1,33729548291066;2,16026500638853
"G1";1189;1;1,10814854894444;1,41622521105219
"G5";644;1,00646970913198;1,17045258372425;1,50862330189194
"G8";597;1;1,06960713812098;1,33846881700405
"G6";575;1;1,11730132453424;1,36294455699284
"G7";298;1,00558134411311;1,16845037255139;1,40250787389783
"G4";191;1,04652457002872;1,19243591562359;1,72992525517127
"G9";142;1;1,15246689687083;1,53730002876309
"G3";121;1,0340970293846;1,23314155881336;1,62887199415696
