"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10km";"X";"T10kmRound";"COVERAGE";"BrH";"STA";"GAIN";"NAME";"LZB";"ELECTRIC"
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,868913857677903;56;"131B";55577,3082243283;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9026;65;"131B";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,414965986394558;55;"133A";30229,2654849058;"G6";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,73469387755102;47;"133A";19550,0905506179;"G4";FALSE;1
1800;"G";50;"G1206-3";1;1214,0693328173;NA;1215;0,9048;47;"133A";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,613207547169811;54;"133B";21170,8771631464;"G5";FALSE;1
2400;"G";60;"285-2";1;956,469649570973;NA;957;0,9057;54;"133B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,8125;55;"137";3246,90403345517;"G2";FALSE;1
1000;"G";70;"203-1";1;782,31639342372;NA;783;1;55;"137";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,468468468468468;56;"139A";12456,9828778667;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9189;54;"139A";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,346938775510204;53;"139B";14106,9905596227;"G6";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,744897959183674;47;"139B";19007,0324797674;"G4";FALSE;1
1800;"G";50;"G1206-3";1;1214,0693328173;NA;1215;0,9082;53;"139B";0;"S90";FALSE;1
1200;"G";80;"1144-1";1;603,787398110887;5117;604;0,716981132075472;54;"143";11049,7226297646;"G7";FALSE;1
2000;"G";80;"180-1";1;894,569572578376;NA;895;0,9245;50;"143";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,769230769230769;54;"143B";19859,5820435245;"G2";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,923076923076923;75;"143B";3892,76852681504;"G1";FALSE;1
1900;"P";50;"G1206-4";1;1227,12105151181;NA;1228;0,9231;55;"143B";0;"S90";FALSE;1
1200;"G";80;"1144-1";1;603,787398110887;5117;604;0,52;52;"145B";4934,75127996345;"G7";FALSE;1
2500;"G";60;"285-2";1;983,383650415768;NA;984;0,92;54;"145B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,475;69;"147";7330,37796110425;"G2";FALSE;1
3100;"G";60;"264-1";1;918,363911070307;NA;919;0,9;55;"147";0;"S90";FALSE;1
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543;0,515151515151515;54;"149";11720,0055368914;"G8";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9091;50;"149";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,352941176470588;56;"15";1725,60038405567;"G5";FALSE;1
3100;"G";60;"264-1";1;918,363911070307;NA;919;0,9412;44;"15";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,444444444444444;64;"151";7410,92221454318;"G2";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,666666666666667;54;"151";2392,9856773448;"G4";FALSE;1
1700;"G";50;"1293-2";1;1468,67315441507;NA;1469;0,9444;40;"151";0;"S90";FALSE;1
