"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"G3";2513;1;1,02894200386692;1,18825866009492
"s90";2239;1;1,21439200846434;1,72988783582759
"G1";836;1;1,10373152332548;1,29298282442053
"G6";808;1,02487367149403;1,0599379745581;1,2046265332941
"G4";671;1;1,11223785338987;1,35671991472122
"G9";544;1;1,0294848613916;1,18429173045212
"G7";434;1,00784424707973;1,17966273824113;1,39144866616127
"G10";375;1;1,1628231603903;1,44719085878253
"G8";139;1;1,13885120059886;1,34230890492453
"G5";110;1,01863731127564;1,1958495389987;1,45075246149408
