"X";"G3";"s90"
"0:00";4;0
"2:00";4;0
"4:00";4;0
"6:00";3;1
"8:00";3;1
"10:00";3;1
"12:00";2;2
"14:00";2;2
"16:00";1;3
"18:00";2;2
"20:00";2;2
"22:00";2;2
"24:00";1;3
"26:00";2;2
"28:00";2;2
"30:00";3;1
"32:00";4;0
"34:00";4;0
"36:00";4;0
"38:00";4;0
"40:00";4;0
"42:00";4;0
"44:00";4;0
"46:00";4;0
"48:00";4;0
