"X";"G1";"G8"
"0:00";2;0
"2:00";1;1
"4:00";1;1
"6:00";2;0
"8:00";2;0
"10:00";2;0
"12:00";2;0
"14:00";2;0
"16:00";1;1
"18:00";1;1
"20:00";2;0
"22:00";1;1
"24:00";1;1
"26:00";1;1
"28:00";1;1
"30:00";2;0
"32:00";1;1
"34:00";1;1
"36:00";2;0
"38:00";2;0
"40:00";2;0
"42:00";2;0
"44:00";2;0
"46:00";2;0
"48:00";2;0
