"X";"G1";"s90"
"0:00";3;3
"2:00";3;3
"4:00";4;2
"6:00";4;2
"8:00";3;3
"10:00";2;4
"12:00";3;3
"14:00";0;6
"16:00";3;3
"18:00";1;5
"20:00";3;3
"22:00";4;2
"24:00";5;1
"26:00";5;1
"28:00";6;0
"30:00";6;0
"32:00";5;1
"34:00";5;1
"36:00";6;0
"38:00";6;0
"40:00";6;0
"42:00";6;0
"44:00";6;0
"46:00";6;0
"48:00";6;0
