"X";"G8";"s90"
"0:00";5;1
"2:00";4;2
"4:00";3;3
"6:00";5;1
"8:00";5;1
"10:00";1;5
"12:00";3;3
"14:00";3;3
"16:00";5;1
"18:00";4;2
"20:00";4;2
"22:00";2;4
"24:00";2;4
"26:00";4;2
"28:00";4;2
"30:00";5;1
"32:00";4;2
"34:00";5;1
"36:00";6;0
"38:00";6;0
"40:00";6;0
"42:00";6;0
"44:00";6;0
"46:00";6;0
"48:00";6;0
