"X";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS";"T10km";"T10SYS";"STABFQ";"NAME"
1;40541;"151-1";1;100;569;1678;"P";75;FALSE;1;"FGz";501,633039807726;508,905744122891;1,01449805682248;"G12"
2;41144;"185-2";1;100;649;1685;"P";68;FALSE;1;"FGz";503,276651688776;508,905744122891;1,01118488691106;"G12"
3;42578;"185-2";1;120;569;1435;"P";78;TRUE;1;"NGz";484,798553022348;508,905744122891;1,04972620266759;"G12"
4;42581;"185-2";1;120;559;1605;"P";78;TRUE;1;"FGz";497,190908863402;508,905744122891;1,02356204639033;"G12"
5;43158;"189-2";1;100;559;1686;"P";78;TRUE;1;"FGz";498,07686857548;508,905744122891;1,02174137413444;"G12"
6;43932;"1116-1";1;100;624;1686;"P";78;FALSE;1;"FGz";498,239365527766;508,905744122891;1,02140814101236;"G12"
7;48701;"140-1";2;90;618;4086;"P";56;FALSE;1;"FGz";641,964640354022;710,313658532563;1,10646850913915;"s90"
8;55580;"294-3";1;80;594;1480;"P";54;FALSE;0;"NGz";866,391200038519;866,391200038519;1;"no"
9;55583;"294-3";1;80;594;1280;"P";54;FALSE;0;"NGz";839,957208015393;839,957208015393;1;"no"
10;55584;"294-3";1;80;454;880;"P";54;FALSE;0;"NGz";715,489406184941;715,489406184941;1;"no"
11;55599;"294-3";1;80;514;1280;"P";52;FALSE;0;"NGz";839,957208015393;839,957208015393;1;"no"
12;60110;"155-1";1;100;649;1723;"P";64;FALSE;1;"FGz";518,721061789015;710,313658532563;1,36935573057852;"s90"
13;62530;"185-2";1;100;469;1485;"P";70;TRUE;1;"NGz";488,371856631382;508,905744122891;1,04204559950105;"G12"
14;76943;"294-3";1;80;14;80;"P";60;FALSE;0;"Lz";493,157228574676;493,157228574676;1;"no"
