"SYS";"TIME";"DIRECTION";"RELATION"
"G7";"#100:41:31.04#100:32:19.03#100:17:19.49#23:33:07.51#103:49:17.65#20:30:14.72#23:30:40.77";"#GRi#Ri#GRi#GRi#Ri#Ri#Ri";"#0.58#0.57#0.71#0.31#0.58#0.58#0.5"
"s90";"#100:10:53.21";"#Ri";"#0.58"
