"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";45705;"189-2";1;90;569;1186;"P";78;TRUE;1;"NGz"
"2";46386;"155-1";1;100;619;1423;"P";67;FALSE;1;"FGz"
"3";47398;"140-1";1;100;616;1083;"P";70;FALSE;1;"NGz"
"4";47762;"155-1";1;100;419;723;"P";80;FALSE;1;"FGz"
"5";47773;"151-1";2;90;589;3736;"P";56;FALSE;1;"FGz"
"6";47777;"151-1";2;90;589;3736;"P";56;FALSE;1;"FGz"
"7";47795;"185-2";1;90;419;1885;"P";58;TRUE;1;"NGz"
"8";47923;"185-2";2;90;563;3685;"P";55;FALSE;1;"FGz"
"9";47925;"185-2";2;90;563;3685;"P";55;FALSE;1;"FGz"
"10";47929;"185-2";2;90;563;3685;"P";54;FALSE;1;"FGz"
"11";47988;"185-2";1;100;319;1685;"P";70;TRUE;1;"NGz"
"12";48573;"185-2";1;90;419;1880;"P";62;FALSE;1;"GzG"
"13";51363;"185-2";1;100;719;1685;"P";68;FALSE;1;"FGz"
"14";51518;"185-2";1;100;699;1685;"P";70;TRUE;1;"FGz"
"15";51662;"185-2";1;100;719;1585;"P";70;FALSE;1;"FGz"
"16";51680;"185-2";1;100;699;1675;"P";70;FALSE;1;"FGz"
"17";51706;"185-2";1;100;719;1685;"P";70;FALSE;1;"FGz"
"18";51714;"185-2";1;100;719;1685;"P";70;FALSE;1;"FGz"
"19";51718;"185-2";1;100;719;1685;"P";70;FALSE;1;"FGz"
"20";51722;"185-2";1;100;719;1585;"P";70;TRUE;1;"FGz"
"21";51881;"185-2";1;100;719;1685;"P";70;FALSE;1;"FGz"
"22";51899;"185-2";1;100;719;1685;"P";70;FALSE;1;"FGz"
"23";52191;"155-1";1;100;629;1723;"P";67;FALSE;1;"FGz"
"24";55563;"294-3";1;80;374;580;"P";40;FALSE;0;"NGz"
"25";55564;"294-3";1;80;374;680;"P";45;FALSE;0;"NGz"
"26";55567;"140-1";1;90;696;1683;"P";54;FALSE;1;"NGz"
"27";55575;"294-3";1;80;414;680;"P";40;FALSE;0;"NGz"
"28";55576;"294-3";1;80;414;880;"P";40;FALSE;0;"NGz"
"29";60878;"151-1";1;100;339;718;"P";54;FALSE;1;"NGz"
"30";60885;"155-1";1;100;419;773;"P";72;FALSE;1;"FGz"
"31";60974;"151-1";1;100;359;1803;"P";62;FALSE;1;"FGz"
"32";69439;"146-3";1;100;419;684;"P";109;TRUE;1;"NGz"
"33";69443;"146-3";1;90;419;2064;"P";59;TRUE;1;"NGz"
"34";75805;"139-1";1;100;496;1086;"P";99;FALSE;1;"FGz"
"35";75806;"139-1";1;100;496;1486;"P";99;FALSE;1;"FGz"
"36";88787;"185CL1-1";1;90;419;1874;"P";54;FALSE;1;"FGz"
"37";88788;"185CL1-1";1;100;719;1084;"P";68;TRUE;1;"FGz"
"38";91120;"185-2";1;120;569;1085;"P";60;TRUE;1;"NGz"
"39";91122;"185-2";1;100;469;885;"G";60;TRUE;1;"NGz"
"40";91265;"1293-2";1;65;674;1680;"P";70;TRUE;0;"FGz"
