"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";4;"155-1";1;100;619;923;"P";73;FALSE;1;"FGz"
"2";1004;"155-1";1;90;719;1588;"P";73;FALSE;1;"FGz"
"3";1017;"189-2";1;100;719;2286;"G";62;FALSE;1;"GzG"
"4";40086;"185-2";1;100;569;1465;"P";75;TRUE;1;"FGz"
"5";40125;"185-2";1;100;579;1485;"P";70;TRUE;1;"FGz"
"6";40184;"185-2";1;100;569;1465;"P";75;TRUE;1;"FGz"
"7";40185;"185-2";1;100;569;1485;"P";75;TRUE;1;"FGz"
"8";40200;"189-2";1;100;594;1486;"P";70;FALSE;1;"FGz"
"9";40221;"189-2";1;100;594;1686;"P";70;TRUE;1;"FGz"
"10";40240;"Re 421-1";2;100;605;1570;"P";70;TRUE;1;"FGz"
"11";40252;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"FGz"
"12";40261;"Re 482-2";1;100;529;1684;"P";70;TRUE;1;"FGz"
"13";40541;"151-1";1;100;569;1678;"P";75;TRUE;1;"FGz"
"14";40551;"151-1";1;100;569;1678;"P";75;FALSE;1;"FGz"
"15";41082;"189-2";1;100;570;1466;"P";78;FALSE;1;"FGz"
"16";41258;"4370-1";1;100;619;1690;"P";77;FALSE;1;"FGz"
"17";41260;"185-2";1;100;579;1685;"P";77;FALSE;1;"FGz"
"18";41263;"185-2";1;100;594;1685;"P";77;FALSE;1;"FGz"
"19";41372;"155-1";1;90;549;2123;"G";75;FALSE;1;"FGz"
"20";41555;"185-2";1;100;559;1645;"P";75;FALSE;1;"FGz"
"21";41709;"189-2";1;100;689;1886;"G";78;FALSE;1;"GzG"
"22";41710;"189-2";1;100;689;1886;"G";78;FALSE;1;"GzG"
"23";41748;"189-2";1;90;629;1886;"G";69;FALSE;1;"GzG"
"24";41859;"185-2";1;120;569;1685;"P";87;TRUE;1;"FGz"
"25";41945;"185-2";1;100;599;1685;"P";77;FALSE;1;"FGz"
"26";41946;"185-2";1;100;599;1685;"P";78;FALSE;1;"FGz"
"27";42006;"145-2";1;100;593;1380;"P";70;FALSE;1;"FGz"
"28";42017;"145-2";1;100;593;1680;"P";70;FALSE;1;"FGz"
"29";42018;"145-2";1;100;593;1380;"P";70;FALSE;1;"FGz"
"30";42021;"145-2";1;100;593;1680;"P";70;FALSE;1;"FGz"
"31";42027;"145-2";1;100;593;1680;"P";70;FALSE;1;"FGz"
"32";42028;"145-2";1;100;593;1380;"P";70;FALSE;1;"FGz"
"33";42067;"Re 482-2";1;100;539;1684;"P";65;TRUE;1;"FGz"
"34";42129;"151-1";1;100;559;1678;"P";69;FALSE;1;"FGz"
"35";42259;"185-2";1;100;519;1085;"P";74;FALSE;1;"FGz"
"36";42611;"145-2";1;100;608;1680;"P";75;FALSE;1;"FGz"
"37";42674;"189-2";1;100;619;1686;"P";85;FALSE;1;"FGz"
"38";42675;"189-3";1;100;690;1886;"G";70;TRUE;1;"GzG"
"39";43024;"Re 482-2";1;100;619;1684;"P";68;TRUE;1;"FGz"
"40";43248;"145-2";1;100;558;1380;"P";75;FALSE;1;"FGz"
"41";43250;"145-2";1;100;558;1380;"P";70;TRUE;1;"FGz"
"42";43669;"185-2";1;100;599;1684;"P";75;TRUE;1;"FGz"
"43";43700;"185-2";1;100;594;1485;"P";75;TRUE;1;"FGz"
"44";43721;"145-2";1;100;688;2080;"G";80;TRUE;1;"GzG"
"45";45707;"189-2";1;100;690;986;"P";75;TRUE;1;"NGz"
"46";45708;"G2000-1";1;100;688;1287;"P";60;FALSE;0;"NGz"
"47";47028;"Re 482-2";1;100;369;584;"P";70;TRUE;1;"FGz"
"48";47528;"155-1";1;100;619;1123;"P";68;TRUE;1;"FGz"
"49";47529;"155-1";1;100;619;923;"P";73;FALSE;1;"FGz"
"50";47925;"185-2";2;90;563;3685;"P";55;FALSE;1;"FGz"
"51";47929;"185-2";2;90;563;3685;"P";54;FALSE;1;"FGz"
"52";47988;"185-2";1;100;319;1685;"P";70;TRUE;1;"NGz"
"53";48587;"185-2";1;90;369;1685;"P";56;FALSE;1;"FGz"
"54";48681;"DE1002-1";2;90;446;1780;"P";55;FALSE;0;"FGz"
"55";48708;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"56";48712;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"57";48714;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"58";48716;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"59";48718;"189-2";1;100;679;1586;"P";74;FALSE;1;"FGz"
"60";49691;"189-2";1;100;690;986;"P";75;TRUE;1;"NGz"
"61";49697;"185-2";1;100;539;1684;"P";72;TRUE;1;"NGz"
"62";50202;"152-3";1;100;594;1457;"P";79;TRUE;1;"FGz"
"63";50240;"152-3";1;120;594;1287;"P";79;TRUE;1;"FGz"
"64";50241;"152-3";1;100;594;1632;"P";82;TRUE;1;"FGz"
"65";50244;"151-1";1;100;595;1713;"P";78;FALSE;1;"FGz"
"66";50509;"152-3";1;100;559;1647;"P";74;FALSE;1;"FGz"
"67";50510;"152-3";1;100;559;1287;"P";74;TRUE;1;"FGz"
"68";60117;"185-2";1;100;519;1085;"P";74;TRUE;1;"FGz"
"69";61301;"185-2";2;90;578;3970;"P";56;FALSE;1;"FGz"
"70";61302;"140-1";1;100;576;1283;"P";70;TRUE;1;"FGz"
"71";61305;"140-1";2;90;573;3966;"P";56;FALSE;1;"FGz"
"72";61306;"140-1";1;100;576;1283;"P";70;TRUE;1;"FGz"
"73";69148;"185-2";1;100;459;835;"P";66;TRUE;1;"NGz"
"74";75850;"189-2";2;100;588;1697;"P";87;TRUE;1;"FGz"
"75";79433;"185-2";1;100;569;1485;"P";68;TRUE;1;"NGz"
"76";79434;"145-2";1;100;568;1480;"P";68;FALSE;1;"NGz"
"77";90985;"145-2";1;90;418;2180;"P";65;TRUE;1;"FGz"
"78";90986;"145-2";1;90;418;2180;"P";65;FALSE;1;"FGz"
"79";93310;"702-1";1;90;34;126;"P";75;FALSE;0;"NGz"
"80";95134;"189-2";1;100;689;2286;"G";75;TRUE;1;"GzG"
"81";41450;"Re 482-2";1;100;594;1484;"P";70;TRUE;1;"NGz"
"82";49690;"185-2";1;100;419;1465;"P";68;TRUE;1;"NGz"
"83";32836;"189-2";1;100;549;1886;"G";76;FALSE;1;"GzG"
"84";43219;"185-2";1;100;430;1554;"P";70;TRUE;1;"NGz"
"85";79742;"185-2";1;100;574;1485;"P";83;TRUE;1;"NGz"
