"";"TRAINRUN";"TFZ";"NUM_TFZ";"VMAX";"TOTALLENGTH";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"TRAINCLASS"
"1";95394;"183-1";1;100;570;1857;"P";75;TRUE;1;"NGz"
"2";51001;"155-1";1;100;619;1723;"P";65;FALSE;1;"FGz"
"3";60843;"155-1";1;100;619;923;"P";70;FALSE;1;"FGz"
"4";60844;"152-3";1;90;619;2587;"P";65;FALSE;1;"NGz"
"5";60847;"155-1";1;100;619;923;"P";70;FALSE;1;"FGz"
"6";60848;"152-3";1;90;619;2587;"P";55;FALSE;1;"NGz"
"7";69359;"66-1";1;90;620;1076;"P";68;FALSE;0;"NGz"
"8";95295;"185-2";1;100;639;2083;"G";80;FALSE;1;"FGz"
"9";48806;"189-2";1;100;569;1386;"P";67;FALSE;1;"FGz"
"10";49321;"145-2";1;90;588;680;"P";98;TRUE;1;"NGz"
"11";60758;"155-1";1;90;539;2773;"P";68;FALSE;1;"NGz"
"12";60760;"155-1";1;90;539;2773;"P";68;FALSE;1;"NGz"
"13";60761;"155-1";1;100;539;923;"P";99;FALSE;1;"Gz"
"14";60762;"155-1";1;90;539;2663;"P";68;FALSE;1;"NGz"
"15";60763;"155-1";1;100;539;923;"P";100;FALSE;1;"Gz"
"16";62963;"185-2";1;100;539;2735;"P";56;TRUE;1;"NGz"
"17";83859;"ER 20D-2";1;90;559;863;"P";90;FALSE;0;"NGz"
"18";83880;"ER 20D-2";1;90;559;1970;"P";78;FALSE;0;"Gz"
"19";89915;"6186-1";1;80;609;2484;"G";58;TRUE;1;"NGz"
"20";95378;"232-1";1;100;471;772;"P";75;FALSE;0;"NGz"
"21";95395;"140-1";1;90;586;1833;"G";62;FALSE;1;"NGz"
"22";95479;"204-1";2;80;563;906;"P";75;FALSE;0;"NGz"
"23";54790;"261-1";1;60;616;1280;"P";64;FALSE;0;"NGz"
"24";54791;"261-1";1;60;616;1280;"P";64;FALSE;0;"NGz"
"25";54792;"261-1";1;60;416;1280;"P";64;FALSE;0;"NGz"
"26";54793;"261-1";1;60;516;1280;"P";64;FALSE;0;"NGz"
