"x"
"7211#G#90"
"12067#G#90"
"12090#G#90"
"7227#G#90"
"7243#G#90"
"7259#G#90"
"7275#G#90"
"7291#G#90"
"7307#G#90"
"7323#G#90"
"7339#G#90"
"7355#G#90"
"7371#G#90"
"12113#G#90"
"12114#G#90"
"12135#G#90"
"12136#G#90"
"12137#G#90"
"12159#G#90"
"12160#G#90"
"12181#G#90"
"12182#G#90"
"12183#G#90"
"12205#G#90"
"12206#G#90"
"12227#G#90"
"12228#G#90"
"12229#G#90"
"12251#G#90"
"12252#G#90"
"12273#G#90"
"12274#G#90"
"12275#G#90"
"12297#G#90"
"12298#G#90"
"12319#G#90"
"12320#G#90"
"12321#G#90"
"887#G#80"
"7195#G#80"
"7211#G#80"
"11276#G#80"
"12066#G#80"
"12067#G#80"
"12068#G#80"
"12089#G#80"
"12090#G#80"
"12091#G#80"
"7227#G#80"
"7243#G#80"
"7259#G#80"
"7275#G#80"
"7291#G#80"
"7307#G#80"
"7323#G#80"
"7339#G#80"
"7355#G#80"
"7371#G#80"
"11338#G#80"
"12112#G#80"
"12113#G#80"
"12114#G#80"
"12135#G#80"
"12136#G#80"
"12137#G#80"
"12158#G#80"
"12159#G#80"
"12160#G#80"
"12181#G#80"
"12182#G#80"
"12183#G#80"
"12204#G#80"
"12205#G#80"
"12206#G#80"
"12227#G#80"
"12228#G#80"
"12229#G#80"
"12250#G#80"
"12251#G#80"
"12252#G#80"
"12273#G#80"
"12274#G#80"
"12275#G#80"
"12296#G#80"
"12297#G#80"
"12298#G#80"
"12319#G#80"
"12320#G#80"
"12321#G#80"
"4692#G#80"
"12136#G#70"
"18305#P#80"
"12137#P#90"
"18021#G#60"
"7270#G#100"
