"x"
"12320#G#90"
"887#G#80"
"7307#G#80"
"7339#G#80"
"7371#G#80"
"12113#G#80"
"12136#G#80"
"12159#G#80"
"12182#G#80"
"12205#G#80"
"12228#G#80"
"12251#G#80"
"12274#G#80"
"12297#G#80"
"12320#G#80"
"4692#G#80"
"12136#G#70"
"18305#P#80"
"12137#P#90"
"18021#G#60"
"7270#G#100"
