"BTS";"NUM_TRAINS";"NUM_NOSYS";"SUM_T10_TRAINS";"SUM_T10_SYS";"MIN_BFQ";"Q25_BFQ";"Q50_BFQ";"Q75_BFQ";"MAX_BFQ";"ANZ_SYS"
"1";57;3;32876,5176298167;38110,5615943716;1;1,09568752324383;1,18511371395719;1,22007761564416;1,42616059488369;2
"101";14;2;8487,90420244997;9474,99540237062;1;1,04896147369126;1,11381028462708;1,25885559950757;1,3458365430409;2
"103";37;2;26354,2723689876;31892,9300147903;1;1,02476227480874;1,14305109137805;1,27515718460981;1,75427069146898;3
"105";59;5;37246,7897191703;41082,1607484826;1;1,04707236236434;1,09791422459126;1,15140408495474;1,54070653624177;2
"107";31;1;17901,5649108373;20179,736908602;1;1,0688868784654;1,11940362231826;1,16678612422377;1,39605440238474;2
"109A";66;5;40712,260224367;50638,1842398831;1;1,1067144945861;1,18511371395719;1,43331091389391;1,76668603444629;2
"109B";198;14;130859,163665629;162367,278930267;1;1,1296794093715;1,22709070508111;1,37811924695684;1,68212642229369;2
"111";42;4;24394,1327716091;27784,2987341696;1;1,0064471530352;1,12153011558385;1,19760752462237;1,47743413554002;2
"113";84;8;51755,3362762142;60969,5163148206;1;1;1,18276890898113;1,36184567219829;1,53730002876309;2
"115A";25;2;13802,4272010145;14969,3566852794;1;1,01436616295122;1,04681723038326;1,18186807841695;1,31056250908144;3
"115B";53;1;27274,1387619217;30840,1290226583;1;1,04766142181173;1,09479081792146;1,20351309661911;1,35874108185543;2
"117";80;7;51981,9476116229;61428,0313008352;1;1;1,19855399978628;1,33985474472418;1,67365946929039;2
"119A";54;3;29371,5010592164;33556,2078313599;1;1,0630390649803;1,14095367250836;1,20303675936488;1,37948741449604;2
"11B";26;1;18446,9819935224;22237,5432318543;1;1,06831772568162;1,22306903364935;1,26745950714109;1,57468685089598;3
"121";62;4;33926,6402361038;38200,6120311169;1;1,01395969799434;1,05037040024183;1,25797056514599;1,42979514020699;2
"123";74;1;36970,231965936;39887,5978367256;1;1,04002057427387;1,07631837427838;1,10084327379065;1,45751596894418;2
"125A";59;5;32943,1529018898;36921,0965432542;1;1,02881937463458;1,04551451021291;1,22758840627439;1,42616059488369;2
"125B";40;1;21090,5948572055;23290,389296323;1;1,02881006449818;1,04794245522737;1,16054516693314;1,36415816932203;2
