"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"G6";3226;1;1,04551451021291;1,25681929644764
"s90";1700;1,01288718262634;1,32946861498011;2,11972832692959
"G8";1149;1;1,10396606198807;1,41622521105219
"G2";597;1;1,06960713812098;1,33846881700405
"G3";542;1;1,11675353303535;1,36294455699284
"G9";505;1,0183715497717;1,13684239258327;1,45297625516209
"G12";236;1,02093132934763;1,23954969814299;1,67247183369649
"G10";226;1;1,1394361714377;1,34735948120891
"G13";207;1,04652457002872;1,17549232828466;1,63401438369358
"G1";109;1,0340970293846;1,23558386060198;1,62887199415696
"G11";95;1;1,15026613828604;1,4669508971708
"G5";64;1,0135953704927;1,18333181480187;1,5134193584411
"G4";58;1,00558134411311;1,13442888198142;1,39473616764742
"G7";33;1,00081193151138;1,17865699374157;1,39938004326938
