"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"s90";2238;1;1,23341547778207;1,72988783582759
"G12";2167;1;1,02569787663305;1,18825866009492
"G1";849;1;1,10373152332548;1,27932581453992
"G17";587;1;1,11223785338987;1,35671991472122
"G3";476;1;1,03002771891627;1,17722792138157
"G8";437;1,01250456774768;1,05910584675477;1,2046265332941
"G6";423;1,00784424707973;1,18284774694741;1,39144866616127
"G14";394;1;1,1628231603903;1,44719085878253
"G16";385;1;1,05105018050348;1,19452549644324
"G4";175;1;1,09306141034986;1,24419988598848
"G13";146;1;1,0813340633057;1,11808013941676
"G15";139;1;1,13885120059886;1,34230890492453
"G11";77;1,04937956561354;1,21210332880571;1,45075246149408
"G7";60;1,04211823692224;1,17083201006462;1,3930819982409
"G10";53;1,02943292613262;1,05526426182881;1,20996308033763
"G9";47;1;1,05014782313913;1,17064644874435
