"TFZ";"NUM_TFZ";"VMAX";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"T10km";"T10kmRound";"COVERAGE";"STA";"GAIN";"NAME"
"185-2";1;100;1675;"P";55;FALSE;1;502,506316794503;503;0,8125;"137";2213,6140710994;"G12"
"203-1";1;90;1068;"G";55;FALSE;1;672,784322263688;673;1;"137";0;"S90"
"185-2";1;100;1675;"P";64;FALSE;1;502,506316794503;503;0,432432432432432;"139A";8697,15759547431;"G12"
"180-1";1;80;2084;"G";54;FALSE;1;683,697100033551;684;0,9099;"139A";0;"S90"
"185-2";1;80;2665;"G";47;FALSE;1;640,148770642023;641;0,673469387755102;"139B";16052,4340536035;"G11"
"G1206-3";1;60;2087;"G";54;FALSE;1;883,367468423894;884;0,9184;"139B";0;"S90"
"185-2";1;100;1675;"P";62;FALSE;1;502,506316794503;503;0,666666666666667;"143B";8147,61308543829;"G12"
"143-6";2;90;2265;"P";54;TRUE;1;529,001886409318;530;0,743589743589744;"143B";2181,54491994411;"G4"
"294-2";1;40;1789;"P";55;FALSE;1;826,673062120555;827;0,9231;"143B";0;"S90"
"143-6";2;90;2265;"P";54;TRUE;1;529,001886409318;530;0,471698113207547;"143";3867,38034060583;"G4"
"180-1";1;80;2084;"G";50;FALSE;1;683,697100033551;684;0,9245;"143";0;"S90"
"156-1";1;90;2370;"G";52;FALSE;1;597,493577786885;598;0,6;"145B";2711,70013725552;"G6"
"285-2";1;70;2560;"G";54;FALSE;1;778,273586937253;779;0,92;"145B";0;"S90"
"189-2";1;100;1836;"P";69;TRUE;1;508,905744122891;509;0,45;"147";4848,62117065852;"G3"
"285-2";1;90;2560;"G";55;FALSE;1;778,273586937253;779;0,9;"147";0;"S90"
"185-2";1;90;2185;"G";54;FALSE;1;585,221746667392;586;0,696969696969697;"149";13320,5769786204;"G14"
"285-2";1;80;2560;"G";54;FALSE;1;778,273586937253;779;0,9091;"149";0;"S90"
"185-2";1;100;1675;"P";64;FALSE;1;502,506316794503;503;0,444444444444444;"151";2697,43406291874;"G12"
"185-2";1;90;2185;"G";54;FALSE;1;585,221746667392;586;0,5;"151";0;"G14"
"294-2";1;40;1789;"G";40;FALSE;1;850,482585930078;851;1;"151";0;"S90"
"180-1";1;100;1184;"P";60;FALSE;1;517,643876549045;518;0,642045454545455;"153";18764,0142537492;"G8"
"180-1";1;80;2084;"G";64;FALSE;1;683,697100033551;684;0,9091;"153";0;"S90"
"4370-1";1;90;1975;"P";66;FALSE;1;549,743140885997;550;0,662650602409639;"155B";7367,46775311547;"G1"
"180-1";1;80;2084;"G";64;FALSE;1;683,697100033551;684;0,9008;"155B";0;"S90"
"180-1";1;100;1184;"P";65;FALSE;1;517,643876549045;518;0,682352941176471;"157A";11174,847355044;"G8"
"180-1";1;90;2284;"G";62;FALSE;1;710,313658532563;711;0,9059;"157A";0;"S90"
"180-1";1;100;1184;"P";62;FALSE;1;517,643876549045;518;0,625;"157B";12523,5358289287;"G8"
"180-1";1;90;2284;"G";55;FALSE;1;710,313658532563;711;0,9038;"157B";0;"S90"
"180-1";1;100;1184;"P";64;FALSE;1;517,643876549045;518;0,670886075949367;"157";10211,4984451265;"G8"
"180-1";1;90;2284;"G";64;FALSE;1;710,313658532563;711;0,9114;"157";0;"S90"
"180-1";1;90;1584;"P";56;FALSE;1;581,626095415237;582;0,352941176470588;"15";1179,8849491321;"G15"
"285-2";1;80;2560;"G";54;FALSE;1;778,273586937253;779;0,9412;"15";0;"S90"
"185-2";1;90;2185;"G";60;FALSE;1;585,221746667392;586;0,694444444444444;"161";7771,69783121625;"G14"
"371-1";1;80;2084;"G";54;FALSE;1;740,655703291717;741;0,9167;"161";0;"S90"
"185-2";1;100;1675;"P";62;FALSE;1;502,506316794503;503;0,740740740740741;"163A";6267,39468110638;"G12"
"180-1";1;90;1584;"P";62;FALSE;1;581,626095415237;582;0,888888888888889;"163A";818,079344979042;"G15"
"294-2";1;40;1789;"P";62;FALSE;1;826,673062120555;827;0,9259;"163A";0;"S90"
"185-2";1;100;1675;"P";54;FALSE;1;502,506316794503;503;0,67948717948718;"163B";3314,79560113382;"G12"
"185-2";1;80;2275;"P";54;FALSE;1;565,049630023443;566;0,9136;"163B";0;"S90"
"4370-1";1;90;1975;"P";53;FALSE;1;549,743140885997;550;0,51063829787234;"165";4581,90149773728;"G1"
"371-1";1;80;2084;"G";53;FALSE;1;740,655703291717;741;0,9574;"165";0;"S90"
"189-2";1;100;1836;"P";64;TRUE;1;508,905744122891;509;0,44;"167A";1922,70491501726;"G3"
"180-1";1;80;2084;"G";56;FALSE;1;683,697100033551;684;0,9077;"167A";0;"S90"
"185-2";1;100;1675;"P";65;FALSE;1;502,506316794503;503;0,525;"167";3805,00644802001;"G12"
"180-1";1;80;2084;"G";56;FALSE;1;683,697100033551;684;0,9077;"167";0;"S90"
"Re 482-2";1;100;1884;"P";60;TRUE;1;513,303328065236;514;0,642857142857143;"169";19936,0713202929;"G16"
"180-1";1;80;2084;"G";65;FALSE;1;683,697100033551;684;0,9011;"169";0;"S90"
"156-1";1;90;2370;"G";65;FALSE;1;597,493577786885;598;1;"171A";86,203522246666;"G6"
"180-1";1;80;2084;"G";58;FALSE;1;683,697100033551;684;0,9077;"171A";0;"S90"
"4370-1";1;90;1975;"P";56;FALSE;1;549,743140885997;550;0,6;"171";803,723754885324;"G1"
"180-1";1;80;2084;"G";58;FALSE;1;683,697100033551;684;0,9077;"171";0;"S90"
"Re 482-2";1;100;1884;"P";60;TRUE;1;513,303328065236;514;0,25;"173A";1685,89628932421;"G16"
"185-2";1;90;2185;"G";58;FALSE;1;585,221746667392;586;0,55;"173A";0;"G14"
"294-2";1;40;1789;"G";42;FALSE;1;850,482585930078;851;0,95;"173A";0;"S90"
"Re 482-2";1;100;1884;"P";56;TRUE;1;513,303328065236;514;0,668539325842697;"173B";20276,8588642295;"G16"
"180-1";1;80;2084;"G";64;FALSE;1;683,697100033551;684;0,9045;"173B";0;"S90"
"Re 482-2";1;100;1884;"P";56;TRUE;1;513,303328065236;514;0,592964824120603;"173C";20106,4650922612;"G16"
"180-1";1;80;2084;"G";63;FALSE;1;683,697100033551;684;0,9095;"173C";0;"S90"
"4370-1";1;90;1975;"P";54;FALSE;1;549,743140885997;550;0,761194029850746;"177A";13663,3038330505;"G1"
"180-1";1;80;2084;"G";58;FALSE;1;683,697100033551;684;0,9077;"177A";0;"S90"
"180-1";1;100;1184;"P";67;FALSE;1;517,643876549045;518;0,7;"177B";5811,86282195771;"G8"
"180-1";1;80;2084;"G";58;FALSE;1;683,697100033551;684;0,9077;"177B";0;"S90"
"1144-1";1;90;1484;"P";46;FALSE;1;553,979947127541;554;0,557377049180328;"17";4410,38319880434;"G17"
"180-1";1;80;2084;"G";48;FALSE;1;683,697100033551;684;0,9016;"17";0;"S90"
"185-2";1;100;1675;"P";61;FALSE;1;502,506316794503;503;0,746268656716418;"181";3127,165661447;"G12"
"185-2";1;80;2275;"P";55;FALSE;1;565,049630023443;566;0,9;"181";0;"S90"
"189-2";1;100;1436;"P";69;FALSE;1;480,999082124177;481;0,484848484848485;"183";1344,80876638826;"G13"
"185-2";1;80;2275;"P";55;FALSE;1;565,049630023443;566;0,9;"183";0;"S90"
"143-6";2;100;2075;"P";62;TRUE;1;498,195264264677;499;0,714285714285714;"185";4073,80654271915;"G9"
"185-2";1;80;2665;"G";56;FALSE;1;640,148770642023;641;0,80952380952381;"185";545,386229986028;"G11"
"294-2";1;40;1789;"P";50;FALSE;1;826,673062120555;827;0,9524;"185";0;"S90"
