"BTS";"NUM_TRAINS";"NUM_NOSYS";"SUM_T10_TRAINS";"SUM_T10_SYS";"MIN_BFQ";"Q25_BFQ";"Q50_BFQ";"Q75_BFQ";"MAX_BFQ";"ANZ_SYS"
"173B";178;12;90264,2773861344;100280,929539336;1;1,03299624035883;1,05983335117506;1,1602937893995;1,39885281920495;2
"173C";199;12;100829,876111912;114915,297155238;1;1,04438006124891;1,06046676132434;1,28507354254801;1,39885281920495;2
"177A";134;9;69087,4292485488;77840,6003565755;1;1,09400761667808;1,12566507144358;1,15325120575552;1,38636739039509;2
"177B";50;3;25867,3599326204;28446,8316274499;1;1,03919418452084;1,0599379745581;1,10101997959533;1,34053151395495;2
"17";61;5;32249,1611134271;37249,2602474974;1;1,06797272741716;1,18430451676968;1,25417709666769;1,35671991472122;2
"181";67;5;33435,1477935991;34686,6267962934;1;1;1,03315646251058;1,05531069573397;1,17227649273016;2
"183";33;5;16586,592824172;17615,909906616;1;1,04949960920066;1,07433550597885;1,09365453998511;1,13877209990334;2
"185";21;1;11015,2183078678;12105,7637598226;1;1,01030307262306;1,05759374233606;1,08507715858738;1,43852249082918;3
"187A";137;10;71601,3466463639;80301,4225685237;1;1,08606332801328;1,10373152332548;1,15325120575552;1,33195532281189;2
"187B";40;5;21195,7791975965;23294,8536954061;1;1,03527678422947;1,10074636935496;1,123620647736;1,42878103355277;2
"191";37;1;18167,0767086668;18944,217817704;1;1,01912777879367;1,03831437553724;1,05800670907681;1,10875499546098;2
"193A";100;7;49459,9676644381;52210,5127931866;1;1,0090977308561;1,05178194495746;1,12141009576438;1,15018968107456;2
"193B";104;9;52798,4366467357;56082,1998636482;1;1,01118488691106;1,02174137413444;1,06611223049801;1,3910675816191;2
"195A";92;7;45237,8560929486;48158,1359135813;1;1;1,07843163235807;1,10278714417916;1,22889525652149;2
"195";51;4;23901,1675919236;25078,8151614701;1;1;1,07600258545322;1,08351981532825;1,22889525652149;2
"197B";54;5;28129,3898303882;31001,7588356214;1;1,02299483536275;1,08584096067004;1,15018968107456;1,38956512150367;2
"19";52;5;27948,7153099837;31797,4794477269;1;1,08620311455309;1,15103820684855;1,18788717401077;1,38818247937799;2
"1";57;4;30353,7712407199;35080,5788638003;1;1,06967246119468;1,1628231603903;1,22995573994515;1,49053848600498;2
"201";49;6;24804,1271198896;25628,6171238881;1;1;1,00916594059329;1,0718306945407;1,14409477196316;2
"203";109;10;54013,8444737895;57802,9315280533;1;1;1,0184091371033;1,07970389927229;1,41966267036306;2
"207A";46;4;24413,3206132454;26667,1146784814;1;1,01118488691106;1,03087942623883;1,15283327713649;1,31804383973836;2
"209";42;4;22519,1776215552;26038,7844175022;1;1,06797272741716;1,16585393704806;1,26689271236013;1,4657404673481;2
"215A";142;11;71488,8732855487;76466,6779361153;1;1;1,01204492826416;1,08948193864406;1,42878103355277;2
"215B";123;8;63137,0874460278;67688,0263703163;1;1;1,00856405888808;1,08948193864406;1,43043995675862;2
"21";59;5;32273,9646878375;38201,6999713238;1;1,09495227752857;1,11852143510107;1,29121904124436;1,51116922068877;2
"221";38;2;18399,7693547538;19647,9278836461;1;1,00856405888808;1,07689173933371;1,11965548861073;1,15018968107456;2
"223";86;12;42572,4914678576;44259,7002640538;1;1;1,04410149476938;1,0518933466645;1,17235760137156;2
"225";23;0;11331,1075840177;11870,3618524183;1,00856405888808;1,00856405888808;1,03171041931422;1,08456948349734;1,16813501721849;2
"251";138;9;67423,1953324215;70266,4658557578;1;1,00916594059329;1,03030380874366;1,05923510829491;1,15395651991276;2
"253";17;1;8271,3162712019;8677,57422139736;1;1,0099284996406;1,03644818761773;1,06524751586254;1,13738528100257;2
"279";40;1;19987,0184183175;22488,317043183;1;1,00889310164451;1,03823744419778;1,11811652550396;1,49278302455551;2
"287";1;0;494,965310774064;502,506316794503;1,0152354232838;1,0152354232838;1,0152354232838;1,0152354232838;1,0152354232838;1
"289";25;4;12558,4666432848;13569,0583005298;1;1,03054324336384;1,04068553262846;1,0599379745581;1,29992133588397;2
