"SYS";"TIME";"DIRECTION";"RELATION"
"G3";"#02:32:32.54#08:41:58.24#110:02:02.77#100:10:59.89#17:59:00.13#20:47:37.28#19:37:28.38#101:37:30.90#100:27:00.00#22:39:29.29#20:02:05.33#101:54:49.55#20:42:01.55#107:18:58.61#106:42:58.40#100:23:34.67#103:01:30.00#21:21:48.00#103:23:18.00#22:55:01.96#21:42:00.72#05:34:34.45#23:30:29.62#23:50:02.10#102:54:02.34#20:53:57.01#15:38:01.81#21:38:03.06#15:57:13.03#23:59:18.58#100:07:32.19#17:05:39.18#101:56:30.00#14:30:33.01#11:50:42.89#22:43:57.53";"#Ri#Ri#GRi#Ri#Ri#GRi#GRi#Ri#GRi#GRi#Ri#Ri#Ri#GRi#GRi#Ri#GRi#Ri#GRi#Ri#Ri#GRi#GRi#GRi#GRi#Ri#Ri#Ri#GRi#GRi#Ri#GRi#GRi#Ri#Ri#Ri";"#0.5#0.42#0.27#0.28#0.33#0.46#0.12#0.15#0.59#0.21#0.19#0.31#0.3#0.01#0.27#0.14#0.14#0.16#0.22#0.21#0.16#0.52#0.25#0.33#0.41#0.32#0.04#0.26#0.61#0.37#0.4#0.64#0.26#0.56#0.79#0.46"
"s90";"#101:34:32.82#102:25:23.07#102:03:07.20#101:20:28.02#11:44:42.28#23:39:32.22#12:40:27.43#16:27:15.00#15:39:00.00#12:40:02.71#18:38:28.08#102:38:00.18#101:31:15.67";"#GRi#GRi#GRi#GRi#Ri#Ri#Ri#Ri#GRi#GRi#GRi#Ri#Ri";"#0.43#0.48#0.02#0.4#0.31#0.33#0.62#0.29#0.46#0.0600000000000001#0.62#0.03#0.62"
