"";"G12";"G9";"s90"
"0:00";0;0;1
"2:00";0;0;1
"4:00";0;1;1
"6:00";1;0;0
"8:00";3;1;1
"10:00";1;1;2
"12:00";6;1;0
"14:00";1;0;1
"16:00";1;2;1
"18:00";0;1;2
"20:00";2;0;2
"22:00";2;1;1
"24:00";3;0;1
"26:00";3;1;0
"28:00";7;1;0
"30:00";3;0;0
"32:00";2;1;0
"34:00";4;0;0
"36:00";0;0;0
"38:00";0;0;0
"40:00";0;0;0
"42:00";0;0;0
"44:00";0;0;0
"46:00";0;0;0
"48:00";0;0;0
