"";"G12";"s90"
"0:00";0;0
"2:00";1;0
"4:00";0;0
"6:00";5;0
"8:00";6;1
"10:00";12;0
"12:00";11;0
"14:00";8;0
"16:00";3;1
"18:00";5;2
"20:00";3;1
"22:00";5;0
"24:00";4;0
"26:00";7;0
"28:00";5;0
"30:00";4;0
"32:00";1;0
"34:00";0;0
"36:00";0;1
"38:00";1;0
"40:00";0;0
"42:00";0;0
"44:00";0;0
"46:00";0;0
"48:00";0;0
