"";"G12";"G2"
"0:00";3;0
"2:00";2;0
"4:00";7;1
"6:00";3;2
"8:00";4;2
"10:00";2;1
"12:00";3;0
"14:00";1;1
"16:00";0;0
"18:00";3;0
"20:00";2;1
"22:00";4;1
"24:00";4;0
"26:00";0;0
"28:00";0;0
"30:00";0;0
"32:00";0;0
"34:00";0;0
"36:00";0;0
"38:00";0;0
"40:00";0;0
"42:00";0;0
"44:00";0;0
"46:00";0;0
"48:00";0;0
