"";"G13"
"0:00";1
"2:00";0
"4:00";0
"6:00";1
"8:00";0
"10:00";1
"12:00";1
"14:00";2
"16:00";1
"18:00";0
"20:00";1
"22:00";0
"24:00";1
"26:00";6
"28:00";1
"30:00";0
"32:00";0
"34:00";0
"36:00";0
"38:00";0
"40:00";0
"42:00";0
"44:00";0
"46:00";0
"48:00";0
