"";"G4";"G8";"s90"
"0:00";0;0;0
"2:00";1;2;0
"4:00";0;3;0
"6:00";3;1;0
"8:00";3;2;3
"10:00";2;0;1
"12:00";3;1;0
"14:00";3;1;1
"16:00";3;1;0
"18:00";2;0;1
"20:00";1;4;1
"22:00";7;6;0
"24:00";6;2;0
"26:00";1;0;0
"28:00";0;1;2
"30:00";0;0;0
"32:00";0;0;0
"34:00";1;0;0
"36:00";0;0;0
"38:00";0;0;0
"40:00";0;0;0
"42:00";0;0;0
"44:00";0;0;0
"46:00";0;0;0
"48:00";0;0;0
