"";"G13"
"0:00";1
"2:00";0
"4:00";0
"6:00";0
"8:00";0
"10:00";1
"12:00";1
"14:00";1
"16:00";0
"18:00";0
"20:00";0
"22:00";3
"24:00";1
"26:00";2
"28:00";1
"30:00";1
"32:00";0
"34:00";0
"36:00";0
"38:00";0
"40:00";0
"42:00";0
"44:00";0
"46:00";0
"48:00";0
