"";"G12";"s90"
"0:00";3;1
"2:00";4;0
"4:00";5;1
"6:00";3;1
"8:00";1;1
"10:00";3;1
"12:00";0;0
"14:00";4;1
"16:00";4;0
"18:00";5;1
"20:00";12;0
"22:00";6;0
"24:00";1;0
"26:00";0;0
"28:00";0;0
"30:00";0;0
"32:00";0;0
"34:00";0;0
"36:00";0;0
"38:00";0;0
"40:00";0;0
"42:00";0;0
"44:00";0;0
"46:00";0;0
"48:00";0;0
