"";"G12";"s90"
"0:00";1;0
"2:00";3;0
"4:00";4;3
"6:00";6;0
"8:00";7;0
"10:00";5;1
"12:00";5;1
"14:00";7;1
"16:00";7;0
"18:00";7;2
"20:00";9;0
"22:00";14;0
"24:00";20;2
"26:00";10;2
"28:00";5;0
"30:00";2;0
"32:00";0;1
"34:00";0;0
"36:00";0;0
"38:00";0;0
"40:00";0;0
"42:00";0;0
"44:00";0;0
"46:00";0;0
"48:00";0;0
