"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"G12";2354;1;1,02569787663305;1,18825866009492
"s90";2268;1;1,21439200846434;1,72988783582759
"G8";808;1,02487367149403;1,0599379745581;1,2046265332941
"G1";723;1;1,10360276192045;1,27483148521898
"G7";646;1;1,11223785338987;1,35671991472122
"G3";514;1;1,03002771891627;1,18429173045212
"G4";423;1,00784424707973;1,18284774694741;1,39144866616127
"G6";375;1;1,1628231603903;1,44719085878253
"G10";157;1;1,07911521400576;1,13023930118856
"G5";145;1;1,09306141034986;1,24419988598848
"G9";139;1;1,13885120059886;1,34230890492453
"G11";118;1,01863731127564;1,19862337423075;1,45075246149408
