"NAME";"COUNT";"MIN_BFQ";"MEDIAN_BFQ";"MAX_BFQ"
"G12";3135;1;1,04395259323788;1,25681929644764
"s90";1693;1,01288718262634;1,33257138872597;2,11972832692959
"G13";1182;1;1,10407932447364;1,41622521105219
"G11";597;1;1,06960713812098;1,33846881700405
"G4";542;1;1,11675353303535;1,36294455699284
"G9";505;1,0183715497717;1,13684239258327;1,45297625516209
"G8";249;1,04652457002872;1,16207672040318;1,63401438369358
"G2";233;1,02093132934763;1,24167056873477;1,67247183369649
"G7";226;1;1,1394361714377;1,34735948120891
"G14";109;1,0340970293846;1,23558386060198;1,62887199415696
"G1";65;1;1,15466765545562;1,4669508971708
"G10";64;1,0135953704927;1,18333181480187;1,5134193584411
"G5";59;1;1,0162221308066;1,04079095203195
"G3";56;1,02026715762301;1,13442888198142;1,39473616764742
"G6";33;1,00081193151138;1,17865699374157;1,39938004326938
